车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1004,高速动车,深圳北,08:25,咸宁北,当天12:54,12:56,武汉,13:21
G1005,高速动车,武汉,08:12,咸宁北,当天08:36,08:38,深圳北,13:00
G1006,高速动车,深圳北,09:30,咸宁北,当天13:50,13:52,武汉,14:17
G1007,高速动车,武汉,09:30,咸宁北,当天09:54,09:56,深圳北,14:37
G1010,高速动车,深圳北,11:25,咸宁北,当天15:57,15:59,武汉,16:24
G1011,高速动车,武汉,10:53,咸宁北,当天11:17,11:19,深圳北,15:49
G1015,高速动车,武汉,13:44,咸宁北,当天14:08,14:14,深圳北,18:57
G1016,高速动车,深圳北,15:10,咸宁北,当天19:48,19:50,武汉,20:15
G1020,高速动车,深圳北,16:25,咸宁北,当天20:56,20:58,武汉,21:23
G1103,高速动车,武汉,06:53,咸宁北,当天07:17,07:19,广州南,11:24
G1107,高速动车,武汉,08:26,咸宁北,当天08:50,08:52,广州南,13:09
G1110,高速动车,广州南,10:34,咸宁北,当天14:19,14:21,武汉,14:46
G1114,高速动车,广州南,11:02,咸宁北,当天14:55,14:57,武汉,15:22
G1115,高速动车,武汉,11:00,咸宁北,当天11:24,11:26,广州南,15:22
G1116,高速动车,广州南,11:35,咸宁北,当天15:27,15:30,武汉,15:57
G1117,高速动车,武汉,11:48,咸宁北,当天12:12,12:14,广州南,16:07
G1121,高速动车,武汉,12:39,咸宁北,当天13:03,13:05,广州南,16:56
G1122,高速动车,广州南,12:55,咸宁北,当天16:48,16:50,武汉,17:15
G1129,高速动车,武汉,15:51,咸宁北,当天16:15,16:18,广州南,20:11
G1130,高速动车,广州南,15:26,咸宁北,当天19:30,19:32,武汉,19:57
G1135,高速动车,武汉,18:08,咸宁北,当天18:32,18:38,广州南,22:27
G1143,高速动车,武汉,09:16,咸宁北,当天09:40,09:42,广州南,13:55
G1145/G1148,高速动车,宜昌东,09:47,咸宁北,当天12:49,12:51,广州南,16:47
G1151/G1154,高速动车,汉口,17:10,咸宁北,当天18:02,18:04,广州南,21:56
G1152/G1153,高速动车,广州南,11:40,咸宁北,当天15:34,15:36,汉口,16:26
G1163,高速动车,武汉,20:45,咸宁北,当天21:09,21:11,长沙南,22:18
G1315/G1318,高速动车,成都东,07:54,咸宁北,当天17:52,17:54,广州南,21:43
G1316/G1317,高速动车,广州南,06:53,咸宁北,当天10:45,10:47,成都东,20:48
G1521,高速动车,武汉,08:01,咸宁北,当天08:25,08:27,贵阳北,13:28
G1524,高速动车,贵阳北,14:23,咸宁北,当天19:06,19:08,武汉,19:33
G1532,高速动车,贵阳北,12:30,咸宁北,当天17:05,17:07,徐州东,22:05
G1533,高速动车,徐州东,09:00,咸宁北,当天14:37,14:51,贵阳北,19:35
G1537,高速动车,郑州东,10:38,咸宁北,当天13:11,13:13,昆明南,20:56
G1741,高速动车,蚌埠南,07:13,咸宁北,当天11:09,11:11,长沙南,12:26
G1743,高速动车,南京南,14:57,咸宁北,当天19:13,19:15,广州南,23:31
G1744,高速动车,广州南,06:34,咸宁北,当天10:34,10:36,南京南,14:37
G1745,高速动车,合肥南,19:22,咸宁北,当天21:50,21:52,长沙南,22:59
G1746,高速动车,长沙南,07:55,咸宁北,当天09:05,09:07,合肥南,12:03
G1747,高速动车,蚌埠南,15:39,咸宁北,当天19:36,19:38,广州南,23:43
G276/G277,高速动车,广州南,06:47,咸宁北,当天10:39,10:41,青岛,19:39
G291/G294,高速动车,长沙南,08:47,咸宁北,当天10:07,10:09,天津,16:56
G292/G293,高速动车,天津,10:58,咸宁北,当天17:33,17:35,长沙南,18:50
G401,高速动车,北京西,11:43,咸宁北,当天17:41,17:46,贵阳北,22:23
G4011,高速动车,郑州东,13:56,咸宁北,当天16:33,16:35,广州南,20:25
G423,高速动车,石家庄,08:00,咸宁北,当天12:38,12:43,南宁东,19:57
G425,高速动车,郑州东,07:48,咸宁北,当天10:38,10:40,桂林,15:09
G435,高速动车,武汉,13:13,咸宁北,当天13:37,13:49,桂林北,18:27
G436,高速动车,桂林北,08:00,咸宁北,当天12:24,12:26,武汉,12:51
G4559,高速动车,武汉,13:13,咸宁北,当天13:37,13:49,广州南,17:58
G505,高速动车,北京西,15:40,咸宁北,当天21:23,21:25,长沙南,22:32
G506,高速动车,长沙南,15:05,咸宁北,当天16:11,16:13,北京西,22:03
G541,高速动车,郑州东,08:25,咸宁北,当天11:03,11:05,广州南,14:56
G545,高速动车,郑州东,14:08,咸宁北,当天16:43,16:45,珠海,21:34
G548,高速动车,广州南,16:29,咸宁北,当天20:29,20:31,郑州东,23:07
G554,高速动车,深圳北,13:29,咸宁北,当天18:28,18:49,漯河西,21:20
G575/G578,高速动车,长沙南,13:30,咸宁北,当天14:35,14:42,上海虹桥,20:11
G576/G577,高速动车,上海虹桥,08:25,咸宁北,当天13:54,13:56,长沙南,15:16
G580,高速动车,长沙南,16:42,咸宁北,当天17:48,17:50,南京南,21:44
G80,高速动车,福田,11:20,咸宁北,当天16:01,16:03,北京西,21:49
