车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2563,动车组,太原南,12:11,咸阳秦都,当天16:13,16:15,宝鸡南,17:01
D2567,动车组,太原南,07:48,咸阳秦都,当天11:55,11:58,兰州西,14:50
D2652,动车组,兰州西,08:00,咸阳秦都,当天10:55,10:57,西安北,11:10
D2653,动车组,西安北,08:42,咸阳秦都,当天08:55,08:57,兰州西,11:56
D2655,动车组,西安北,11:30,咸阳秦都,当天11:43,11:46,兰州西,14:38
D2656,动车组,兰州西,09:03,咸阳秦都,当天11:52,11:57,西安北,12:10
D2658,动车组,兰州西,09:26,咸阳秦都,当天12:25,12:27,西安北,12:40
D2659,动车组,西安北,12:30,咸阳秦都,当天12:43,12:45,兰州西,15:39
D2664,动车组,兰州西,15:18,咸阳秦都,当天18:02,18:04,西安北,18:17
D2666,动车组,兰州西,15:35,咸阳秦都,当天18:31,18:33,西安北,18:46
D2667,动车组,西安北,20:00,咸阳秦都,当天20:13,20:15,兰州西,23:07
D2670,动车组,兰州西,19:00,咸阳秦都,当天21:55,21:57,西安北,22:10
D2695,动车组,西安北,15:50,咸阳秦都,当天16:03,16:05,西宁,20:50
D2696,动车组,西宁,15:05,咸阳秦都,当天19:31,19:33,西安北,19:46
D2697,动车组,西安北,17:05,咸阳秦都,当天17:18,17:20,西宁,21:47
D5087,动车组,延安,16:35,咸阳秦都,当天19:13,19:15,宝鸡南,20:07
D5088,动车组,宝鸡南,14:00,咸阳秦都,当天14:40,14:42,延安,17:20
D6802,动车组,宝鸡南,08:30,咸阳秦都,当天09:20,09:22,西安北,09:35
D6803,动车组,西安北,08:10,咸阳秦都,当天08:23,08:25,宝鸡南,09:11
D6804,动车组,宝鸡南,09:00,咸阳秦都,当天09:52,09:54,西安北,10:07
D6806,动车组,宝鸡南,10:00,咸阳秦都,当天10:46,10:48,西安北,11:01
D6808,动车组,宝鸡南,10:25,咸阳秦都,当天11:11,11:13,西安北,11:26
D6809,动车组,大荔,08:20,咸阳秦都,当天09:25,09:27,宝鸡南,10:25
D6811,动车组,西安北,09:45,咸阳秦都,当天09:58,10:00,宝鸡南,10:46
D6812,动车组,宝鸡南,11:20,咸阳秦都,当天12:06,12:08,西安北,12:21
D6813,动车组,西安北,10:30,咸阳秦都,当天10:43,10:45,宝鸡南,11:31
D6814,动车组,宝鸡南,11:30,咸阳秦都,当天12:20,12:22,西安北,12:35
D6815,动车组,西安北,11:20,咸阳秦都,当天11:33,11:35,宝鸡南,12:21
D6818,动车组,宝鸡南,13:20,咸阳秦都,当天14:06,14:08,西安北,14:21
D6819,动车组,西安北,13:15,咸阳秦都,当天13:28,13:30,宝鸡南,14:10
D6820,动车组,宝鸡南,14:30,咸阳秦都,当天15:10,15:12,西安北,15:25
D6821,动车组,西安北,14:00,咸阳秦都,当天14:13,14:16,宝鸡南,15:10
D6822,动车组,宝鸡南,15:30,咸阳秦都,当天16:16,16:18,西安北,16:31
D6823,动车组,西安北,14:45,咸阳秦都,当天14:58,15:00,宝鸡南,15:46
D6824,动车组,宝鸡南,16:30,咸阳秦都,当天17:22,17:24,西安北,17:37
D6826,动车组,宝鸡南,18:30,咸阳秦都,当天19:22,19:24,西安北,19:37
D6827,动车组,西安北,18:00,咸阳秦都,当天18:13,18:15,宝鸡南,19:07
D6828,动车组,宝鸡南,19:30,咸阳秦都,当天20:22,20:24,西安北,20:37
D6829,动车组,西安北,21:45,咸阳秦都,当天21:57,21:59,宝鸡南,22:50
D6830,动车组,宝鸡南,20:30,咸阳秦都,当天21:22,21:24,西安北,21:37
D6831,动车组,西安北,22:00,咸阳秦都,当天22:12,22:14,宝鸡南,23:05
D6839,动车组,西安北,12:10,咸阳秦都,当天12:22,12:24,宝鸡南,13:15
D6841,动车组,西安北,15:40,咸阳秦都,当天15:52,15:54,宝鸡南,16:45
D6842,动车组,宝鸡南,17:05,咸阳秦都,当天17:55,17:57,华山北,19:00
D6844,动车组,宝鸡南,18:50,咸阳秦都,当天19:42,19:44,西安北,19:57
D6845,动车组,西安北,18:45,咸阳秦都,当天18:58,19:00,宝鸡南,19:52
D6846,动车组,宝鸡南,20:15,咸阳秦都,当天21:07,21:09,西安北,21:22
D6851,动车组,西安北,19:10,咸阳秦都,当天19:22,19:26,宝鸡南,20:20
D6852,动车组,宝鸡南,20:40,咸阳秦都,当天21:30,21:32,西安北,21:45
D6853,动车组,西安北,11:50,咸阳秦都,当天12:02,12:04,宝鸡南,12:55
D6854,动车组,宝鸡南,13:25,咸阳秦都,当天14:15,14:17,西安北,14:30
D6855,动车组,西安北,19:40,咸阳秦都,当天19:52,19:54,宝鸡南,20:45
D6856,动车组,宝鸡南,21:10,咸阳秦都,当天22:04,22:07,西安北,22:20
D6857,动车组,西安北,20:15,咸阳秦都,当天20:27,20:29,宝鸡南,21:20
D6858,动车组,杨陵南,14:50,咸阳秦都,当天15:09,15:12,西安北,15:25
D6859,动车组,西安北,21:00,咸阳秦都,当天21:12,21:15,宝鸡南,22:10
D6867,动车组,西安北,14:15,咸阳秦都,当天14:27,14:29,杨陵南,14:49
D6868,动车组,杨陵南,15:20,咸阳秦都,当天15:39,15:41,华山北,16:46
D6869,动车组,华山北,17:30,咸阳秦都,当天18:22,18:24,宝鸡南,19:15
D6870,动车组,宝鸡南,19:40,咸阳秦都,当天20:30,20:32,西安北,20:45
D6877,动车组,西安北,19:10,咸阳秦都,当天19:22,19:25,宝鸡南,20:20
D6878,动车组,宝鸡南,20:50,咸阳秦都,当天21:40,21:42,西安北,21:55
D6879,动车组,西安北,15:20,咸阳秦都,当天15:32,15:34,宝鸡南,16:25
D6880,动车组,宝鸡南,17:50,咸阳秦都,当天18:40,18:42,西安北,18:55
D6889,动车组,西安北,18:35,咸阳秦都,当天18:47,18:49,宝鸡南,19:34
D6891,动车组,西安北,08:20,咸阳秦都,当天08:32,08:34,宝鸡南,09:25
D6892,动车组,宝鸡南,09:45,咸阳秦都,当天10:35,10:37,西安北,10:50
D6893,动车组,西安北,11:15,咸阳秦都,当天11:27,11:29,宝鸡南,12:20
D6894,动车组,宝鸡南,12:40,咸阳秦都,当天13:30,13:32,西安北,13:45
D6895,动车组,西安北,14:15,咸阳秦都,当天14:27,14:29,宝鸡南,15:20
D6896,动车组,宝鸡南,16:15,咸阳秦都,当天17:05,17:07,西安北,17:20
D6897,动车组,西安北,17:40,咸阳秦都,当天17:52,17:54,宝鸡南,18:45
D6898,动车组,宝鸡南,19:15,咸阳秦都,当天20:05,20:07,西安北,20:20
D6899,动车组,西安北,21:20,咸阳秦都,当天21:32,21:34,宝鸡南,22:25
G1874/G1875,高速动车,杭州东,07:15,咸阳秦都,当天15:18,15:21,兰州西,18:14
G1912/G1913,高速动车,上海虹桥,06:17,咸阳秦都,当天13:58,14:01,兰州西,16:55
G1927/G1930,高速动车,兰州西,10:37,咸阳秦都,当天13:35,13:37,上海虹桥,21:09
G2027,高速动车,徐州,16:50,咸阳秦都,当天21:00,21:02,兰州西,23:48
G671,高速动车,北京西,08:16,咸阳秦都,当天14:38,14:40,宝鸡南,15:27
