车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6035/6038,普慢,通辽,09:30,锡林浩特,当天20:46,20:46,锡林浩特,20:46
6036/6037,普慢,锡林浩特,19:28,锡林浩特,当天19:28,19:28,通辽,07:20
K2011/K2014,快速,呼和浩特,16:10,锡林浩特,第2日00:52,01:33,乌兰浩特,12:45
K2012/K2013,快速,乌兰浩特,15:20,锡林浩特,第2日01:33,01:51,呼和浩特,11:41
K2015/K2018,快速,通辽,10:46,锡林浩特,当天22:09,22:09,锡林浩特,22:09
K2016/K2017,快速,锡林浩特,20:31,锡林浩特,当天20:31,20:31,通辽,07:59
K4905/K4908,快速,锡林浩特,11:40,锡林浩特,当天11:40,11:40,满洲里,09:58
K4906,快速,满洲里,17:08,锡林浩特,第2日16:59,16:59,锡林浩特,16:59
K7915/K7918,快速,锡林浩特,21:48,锡林浩特,当天21:48,21:48,包头,10:06
K7916/K7917,快速,包头,19:10,锡林浩特,第2日06:38,06:38,锡林浩特,06:38
K7919/K7922,快速,锡林浩特,07:21,锡林浩特,当天07:21,07:21,呼和浩特,15:31
K7920/K7921,快速,呼和浩特,13:53,锡林浩特,当天21:45,21:45,锡林浩特,21:45
K7927,快速,锡林浩特,09:47,锡林浩特,当天09:47,09:47,二连,14:15
K7928,快速,二连,15:00,锡林浩特,当天19:21,19:21,锡林浩特,19:21
