车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2966,动车组,广州南,11:12,兴安北,当天14:50,14:54,东安东,15:34
D2986/D2987,动车组,东安东,14:30,兴安北,当天15:10,15:13,广州南,19:21
D8205,动车组,兴安北,08:10,兴安北,当天08:10,08:10,南宁,11:54
D8410,动车组,北海,16:10,兴安北,当天21:45,21:45,兴安北,21:45
D8420,动车组,桂林北,07:25,兴安北,当天07:50,07:50,兴安北,07:50
D8421,动车组,兴安北,22:06,兴安北,当天22:06,22:06,桂林北,22:31
D8495,动车组,东安东,16:18,兴安北,当天17:04,17:06,南宁,20:36
D8496,动车组,南宁,09:40,兴安北,当天13:15,13:17,东安东,14:03
G1501,高速动车,上海虹桥,10:03,兴安北,当天18:26,18:28,南宁东,21:42
G1503,高速动车,南京南,08:32,兴安北,当天17:38,17:40,南宁东,20:55
G2342/G2343,高速动车,宁波,09:08,兴安北,当天18:42,18:44,南宁东,21:47
G421,高速动车,北京西,09:05,兴安北,当天19:10,19:12,南宁东,22:28
G435,高速动车,武汉,13:13,兴安北,当天17:59,18:01,桂林北,18:27
G436,高速动车,桂林北,08:00,兴安北,当天08:25,08:27,武汉,12:51
G536,高速动车,桂林,10:50,兴安北,当天11:22,11:24,长沙南,14:08
G537,高速动车,长沙南,14:35,兴安北,当天17:14,17:16,桂林,17:55
K150,快速,湛江,22:45,兴安北,第2日09:05,09:08,上海南,06:12
K157,快速,北京西,18:12,兴安北,第2日20:54,20:57,湛江,06:50
K1628,快速,南宁,14:50,兴安北,当天21:18,21:21,郑州,15:39
K21,快速,北京西,08:06,兴安北,第2日12:10,12:13,南宁,19:35
K2385/K2388,快速,长春,11:45,兴安北,第3日09:14,09:31,南宁,16:55
K315/K318,快速,西安,19:07,兴安北,第2日20:35,20:39,南宁,05:50
K780,快速,南宁,13:20,兴安北,当天20:33,20:44,长沙,05:08
K950/K951,快速,桂林北,20:55,兴安北,当天21:31,21:35,深圳,10:00
T25,空调特快,上海南,17:49,兴安北,第2日12:41,12:44,南宁,18:03
T26,空调特快,南宁,14:55,兴安北,当天20:13,20:16,上海南,15:07
T382,空调特快,昆明,21:15,兴安北,第2日16:26,16:30,上海南,11:34
T78,空调特快,桂林北,16:44,兴安北,当天17:20,17:23,上海南,10:18
