车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D5700,动车组,郑州东,11:58,新乡东,当天12:18,12:29,安阳东,12:56
G1261/G1264,高速动车,郑州东,08:07,新乡东,当天08:27,08:30,哈尔滨西,19:19
G1281/G1284,高速动车,沈阳北,07:20,新乡东,当天14:48,14:50,西安北,17:55
G1289/G1292,高速动车,长春,08:17,新乡东,当天17:57,17:59,武汉,20:30
G1290/G1291,高速动车,武汉,08:03,新乡东,当天10:48,10:51,长春,19:56
G1560/G1561,高速动车,商丘,07:13,新乡东,当天09:05,09:14,北京西,12:19
G1562,高速动车,开封北,15:16,新乡东,当天16:16,16:18,北京西,19:33
G1563,高速动车,北京西,17:36,新乡东,当天20:38,20:40,郑州东,21:01
G1564,高速动车,郑州东,06:42,新乡东,当天07:02,07:04,北京西,10:13
G1565,高速动车,北京西,06:10,新乡东,当天09:04,09:09,郑州东,09:30
G1701/G1704,高速动车,秦皇岛,07:42,新乡东,当天12:44,12:46,西安北,15:18
G1710,高速动车,西安北,16:19,新乡东,当天19:39,19:42,天津西,22:43
G1711,高速动车,天津西,16:05,新乡东,当天19:42,19:44,西安北,22:16
G1813/G1816,高速动车,安阳东,09:05,新乡东,当天09:38,09:40,上海虹桥,15:21
G1951/G1954,高速动车,太原南,12:26,新乡东,当天15:48,15:50,上海虹桥,21:35
G1952/G1953,高速动车,上海虹桥,08:16,新乡东,当天13:42,13:44,太原南,17:28
G2625/G2628,高速动车,大连北,08:12,新乡东,当天16:33,16:35,武汉,19:12
G2626/G2627,高速动车,武汉,07:33,新乡东,当天10:10,10:12,大连北,18:42
G292/G293,高速动车,天津,10:58,新乡东,当天14:19,14:21,长沙南,18:50
G308,高速动车,成都东,07:18,新乡东,当天18:44,18:46,北京西,21:42
G363,高速动车,天津西,08:00,新乡东,当天10:58,11:00,武汉,14:11
G401,高速动车,北京西,11:43,新乡东,当天14:32,14:34,贵阳北,22:23
G4019,高速动车,北京西,17:52,新乡东,当天20:48,20:50,西安北,23:49
G4020,高速动车,西安北,08:57,新乡东,当天12:04,12:06,北京西,15:16
G423,高速动车,石家庄,08:00,新乡东,当天09:32,09:34,南宁东,19:57
G4361/G4364,高速动车,秦皇岛,15:32,新乡东,当天20:49,20:51,郑州东,21:12
G4520/G668,高速动车,西安北,17:03,新乡东,当天19:55,19:57,北京西,22:50
G4565,高速动车,北京西,11:48,新乡东,当天14:37,14:39,郑州东,15:00
G4566,高速动车,郑州东,15:46,新乡东,当天16:06,16:08,北京西,19:14
G4567,高速动车,北京西,11:20,新乡东,当天14:07,14:09,郑州东,14:32
G4568,高速动车,郑州东,06:36,新乡东,当天06:56,06:58,北京西,10:23
G4612,高速动车,宝鸡南,18:12,新乡东,当天22:11,22:14,北京西,00:55
G4613,高速动车,北京西,05:40,新乡东,当天08:15,08:17,郑州东,08:39
G4614,高速动车,三门峡南,00:35,新乡东,当天02:25,02:27,北京西,05:08
G4706,高速动车,武汉,19:15,新乡东,当天21:48,21:50,北京西,00:20
G491/G494,高速动车,北京西,12:33,新乡东,当天15:32,15:43,南昌西,22:15
G502,高速动车,长沙南,07:36,新乡东,当天11:23,11:32,北京西,14:24
G510,高速动车,武汉,08:10,新乡东,当天10:55,10:57,北京西,13:39
G511,高速动车,北京西,09:27,新乡东,当天12:30,12:32,汉口,14:55
G519,高速动车,北京西,14:05,新乡东,当天16:57,16:59,武汉,19:30
G523,高速动车,北京西,16:30,新乡东,当天19:19,19:21,武汉,21:49
G534,高速动车,长沙南,07:10,新乡东,当天11:08,11:10,北京西,14:19
G539,高速动车,北京西,19:55,新乡东,当天22:11,22:13,郑州东,22:35
G556,高速动车,宜昌东,08:20,新乡东,当天13:32,13:34,北京西,16:46
G558,高速动车,武汉,18:14,新乡东,当天21:01,21:03,北京西,23:34
G561,高速动车,北京西,16:53,新乡东,当天19:51,19:53,郑州,20:35
G562,高速动车,郑州东,09:14,新乡东,当天09:34,09:36,北京西,12:32
G563,高速动车,北京西,17:19,新乡东,当天20:21,20:23,郑州东,20:44
G564,高速动车,洛阳龙门,08:32,新乡东,当天10:00,10:02,北京西,13:15
G566,高速动车,郑州,12:38,新乡东,当天13:20,13:22,北京西,16:32
G567,高速动车,北京西,19:16,新乡东,当天22:16,22:18,郑州东,22:39
G569,高速动车,北京西,20:00,新乡东,当天22:16,22:18,郑州,23:01
G570,高速动车,郑州,18:05,新乡东,当天18:45,18:47,北京西,21:36
G571,高速动车,北京西,09:22,新乡东,当天12:23,12:25,信阳东,14:16
G572,高速动车,黄冈东,09:22,新乡东,当天12:54,12:56,北京西,15:53
G573,高速动车,北京西,16:18,新乡东,当天19:02,19:05,黄冈东,22:05
G574,高速动车,信阳东,14:43,新乡东,当天16:48,16:50,北京西,19:53
G586,高速动车,武汉,09:17,新乡东,当天12:11,12:13,北京西,15:21
G653,高速动车,北京西,08:05,新乡东,当天10:53,10:55,西安北,13:43
G660,高速动车,西安北,11:12,新乡东,当天13:47,13:49,北京西,16:51
G6601,高速动车,安阳东,13:17,新乡东,当天13:49,13:51,郑州东,14:12
G6602,高速动车,郑州东,07:43,新乡东,当天08:03,08:05,安阳东,08:44
G661,高速动车,北京西,14:48,新乡东,当天17:52,17:54,西安北,20:45
G663,高速动车,北京西,15:45,新乡东,当天18:43,18:45,西安北,21:25
G664,高速动车,西安北,14:32,新乡东,当天17:28,17:35,北京西,20:25
G685/G688,高速动车,太原南,17:41,新乡东,当天21:24,21:34,郑州,22:16
G686/G687,高速动车,郑州,12:55,新乡东,当天13:37,13:39,太原南,17:14
G692/G693,高速动车,武汉,09:48,新乡东,当天12:36,12:38,太原南,15:55
G80,高速动车,福田,11:20,新乡东,当天18:49,18:51,北京西,21:49
