车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2728,普快,绥芬河,16:05,亚布力,当天19:55,19:57,大连,11:26
K4120,快速,牡丹江,22:33,亚布力,第2日00:22,00:32,天津,23:19
K4709,快速,大连,22:38,亚布力,第2日13:15,13:17,牡丹江,15:50
K4710,快速,牡丹江,20:20,亚布力,当天22:09,22:12,大连,14:13
K5122,快速,齐齐哈尔,21:30,亚布力,第2日05:09,05:23,牡丹江,08:25
K7005/K7008,快速,佳木斯,07:11,亚布力,当天16:04,16:06,绥芬河,21:18
K7081,快速,香坊,16:30,亚布力,当天18:48,18:51,东方红,05:10
K7105/K7108,快速,嫩江,06:39,亚布力,当天17:01,17:03,牡丹江,19:22
T17,空调特快,北京,16:46,亚布力,第2日09:08,09:10,牡丹江,11:28
T261,空调特快,大连,16:14,亚布力,第2日05:17,05:19,牡丹江,07:43
T262,空调特快,牡丹江,16:12,亚布力,当天17:59,18:01,大连,07:42
T297,空调特快,北京,12:00,亚布力,第2日05:01,05:03,牡丹江,07:26
T3297,空调特快,北京,21:30,亚布力,第2日14:35,14:37,牡丹江,16:58
