车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D377,动车组,杭州东,08:24,雁荡山,当天11:07,11:09,厦门北,15:18
D5431,动车组,徐州东,07:21,雁荡山,当天15:23,15:25,温州南,16:02
D5589,动车组,南京,06:50,雁荡山,当天13:02,13:04,温州南,13:41
D9558,动车组,苍南,18:00,雁荡山,当天18:59,19:01,上海虹桥,22:35
G7536,高速动车,温州南,19:28,雁荡山,当天19:55,19:57,上海虹桥,23:10
G7538,高速动车,苍南,16:44,雁荡山,当天17:50,17:52,杭州东,20:23
G7596/G7597,高速动车,温州南,16:13,雁荡山,当天16:40,16:42,合肥南,22:45
G7647/G7650,高速动车,温州南,14:33,雁荡山,当天15:06,15:08,合肥,20:40
G7648/G7649,高速动车,合肥,07:50,雁荡山,当天13:13,13:15,苍南,14:36
G7659,高速动车,杭州东,06:35,雁荡山,当天09:17,09:19,温州南,09:55
G7689,高速动车,南京南,08:03,雁荡山,当天11:51,11:53,温州南,12:23
G9514,高速动车,苍南,19:03,雁荡山,当天20:25,20:27,上海虹桥,23:32
