车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2561,动车组,太原南,09:23,杨陵南,当天13:38,13:40,宝鸡南,14:05
D2562,动车组,宝鸡南,15:00,杨陵南,当天15:30,15:32,太原南,20:09
D2563,动车组,太原南,12:11,杨陵南,当天16:34,16:36,宝鸡南,17:01
D2566,动车组,兰州西,08:40,杨陵南,当天11:14,11:16,太原南,15:31
D2568,动车组,兰州西,15:00,杨陵南,当天17:34,17:36,太原南,21:37
D2569,动车组,太原南,13:34,杨陵南,当天17:59,18:01,西宁,21:57
D2651,动车组,西安北,08:00,杨陵南,当天08:28,08:30,兰州西,11:07
D2654,动车组,兰州西,08:32,杨陵南,当天11:07,11:09,西安北,11:38
D2657,动车组,西安北,12:00,杨陵南,当天12:28,12:30,兰州西,15:08
D2663,动车组,西安北,18:40,杨陵南,当天19:08,19:10,兰州西,21:49
D2665,动车组,西安北,19:20,杨陵南,当天19:48,19:50,兰州西,22:27
D2666,动车组,兰州西,15:35,杨陵南,当天18:09,18:11,西安北,18:46
D2670,动车组,兰州西,19:00,杨陵南,当天21:33,21:35,西安北,22:10
D2686,动车组,西宁,07:50,杨陵南,当天11:55,11:57,西安北,12:26
D2687,动车组,西安北,10:10,杨陵南,当天10:38,10:40,西宁,14:43
D2688,动车组,西宁,08:45,杨陵南,当天12:49,12:51,西安北,13:20
D2690,动车组,西宁,10:28,杨陵南,当天14:38,14:40,西安北,15:09
D2692,动车组,西宁,12:35,杨陵南,当天16:44,16:47,西安北,17:16
D2693,动车组,西安北,15:00,杨陵南,当天15:28,15:30,西宁,19:35
D2694,动车组,西宁,14:28,杨陵南,当天18:29,18:31,西安北,19:00
D2696,动车组,西宁,15:05,杨陵南,当天19:09,19:11,西安北,19:46
D2697,动车组,西安北,17:05,杨陵南,当天17:39,17:41,西宁,21:47
D5084,动车组,宝鸡南,09:30,杨陵南,当天10:06,10:08,延安,12:57
D5087,动车组,延安,16:35,杨陵南,当天19:34,19:36,宝鸡南,20:07
