车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2051,普快,大连,12:23,一面坡,第2日02:32,02:33,牡丹江,05:28
2728,普快,绥芬河,16:05,一面坡,当天20:38,20:40,大连,11:26
K4709,快速,大连,22:38,一面坡,第2日12:38,12:40,牡丹江,15:50
K5128,快速,亚布力南,19:05,一面坡,当天19:42,19:45,哈尔滨东,22:10
K7002,快速,绥芬河,12:40,一面坡,当天16:32,16:35,哈尔滨东,19:02
K7005/K7008,快速,佳木斯,07:11,一面坡,当天15:07,15:09,绥芬河,21:18
K7023,快速,哈尔滨东,22:36,一面坡,第2日00:20,00:26,绥芬河,05:22
K7024,快速,绥芬河,21:23,一面坡,第2日02:55,02:57,哈尔滨东,05:20
K7028,快速,密山,20:36,一面坡,第2日03:43,03:47,哈尔滨东,06:42
K7048,快速,八面通,15:25,一面坡,当天20:03,20:05,哈尔滨东,22:25
K7150,快速,加格达奇,08:12,一面坡,当天22:59,22:59,一面坡,22:59
K7172/K7173,快速,香坊,13:29,一面坡,当天15:05,15:08,鸡西,22:09
