车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D31/D34,动车组,大连,09:06,营口东,当天10:24,10:27,北京,15:12
D32/D33,动车组,北京,14:47,营口东,当天19:39,19:47,大连,21:04
D35/D38,动车组,大连北,10:28,营口东,当天11:50,11:58,北京,16:52
D36/D37,动车组,北京,15:51,营口东,当天20:48,20:50,大连北,22:08
D40/D41,动车组,北京,09:50,营口东,当天14:43,14:55,大连北,16:05
D43/D46,动车组,大连北,14:38,营口东,当天16:19,16:21,北京,21:14
D8073,动车组,大连,11:26,营口东,当天13:28,13:30,抚顺北,15:43
D8074,动车组,抚顺北,06:59,营口东,当天09:01,09:03,大连,11:07
G1251/G1254,高速动车,大连,08:41,营口东,当天09:48,09:50,上海虹桥,19:15
G1252/G1253,高速动车,上海虹桥,11:20,营口东,当天20:59,21:02,大连北,22:01
G1293/G1296,高速动车,大连北,10:10,营口东,当天11:18,11:20,西安北,21:15
G2625/G2628,高速动车,大连北,08:12,营口东,当天09:12,09:21,武汉,19:12
G2626/G2627,高速动车,武汉,07:33,营口东,当天17:40,17:42,大连北,18:42
G377/G380,高速动车,大连北,09:42,营口东,当天10:42,10:44,北京南,15:03
G378/G379,高速动车,北京南,15:41,营口东,当天20:12,20:14,大连北,21:13
G385/G388,高速动车,大连北,17:16,营口东,当天18:10,18:12,北京南,22:07
G386/G387,高速动车,北京南,08:25,营口东,当天12:30,12:32,大连北,13:27
G389/G392,高速动车,大连北,15:01,营口东,当天16:02,16:05,济南西,21:36
G4385/G4388,高速动车,大连北,13:42,营口东,当天14:42,14:52,郑州东,22:49
G4386/G4387,高速动车,郑州东,07:09,营口东,当天13:57,14:07,大连北,15:00
G4751/G4754,高速动车,大连北,21:28,营口东,当天22:49,22:51,北京南,02:57
G4752/G4753,高速动车,北京南,03:17,营口东,当天07:13,07:25,大连北,08:26
G702,高速动车,哈尔滨西,06:16,营口东,当天09:41,09:43,大连北,10:36
G703,高速动车,大连北,06:44,营口东,当天07:44,07:46,哈尔滨西,11:06
G706,高速动车,哈尔滨西,07:29,营口东,当天10:38,10:40,大连北,11:53
G707,高速动车,大连北,09:11,营口东,当天10:11,10:13,哈尔滨西,13:39
G708,高速动车,哈尔滨西,07:55,营口东,当天11:31,11:33,大连北,12:47
G710,高速动车,哈尔滨西,09:06,营口东,当天12:52,12:54,大连北,13:47
G712,高速动车,哈尔滨西,10:28,营口东,当天13:58,14:00,大连北,14:53
G713,高速动车,大连北,11:36,营口东,当天12:35,12:37,哈尔滨西,15:46
G719,高速动车,大连北,14:16,营口东,当天15:17,15:19,哈尔滨西,18:42
G722,高速动车,哈尔滨西,15:43,营口东,当天19:20,19:22,大连北,20:22
G725,高速动车,大连北,16:50,营口东,当天17:43,17:45,哈尔滨西,21:02
G726,高速动车,哈尔滨西,17:05,营口东,当天20:23,20:25,大连北,21:25
G728,高速动车,哈尔滨西,17:47,营口东,当天21:11,21:13,大连北,22:20
G729,高速动车,大连北,18:08,营口东,当天19:15,19:17,哈尔滨西,22:39
G8003,高速动车,大连北,07:17,营口东,当天08:10,08:12,吉林,11:35
G8004,高速动车,吉林,06:17,营口东,当天09:27,09:29,大连北,10:29
G8005,高速动车,大连北,08:36,营口东,当天09:29,09:30,长春,11:46
G8006,高速动车,长春,07:36,营口东,当天10:05,10:07,大连,11:14
G8010,高速动车,长春,10:36,营口东,当天13:12,13:14,大连,14:24
G8014,高速动车,吉林,12:38,营口东,当天15:54,15:56,大连,17:07
G8016,高速动车,吉林,14:09,营口东,当天17:15,17:17,大连北,18:22
G8020,高速动车,吉林,15:38,营口东,当天18:44,18:46,大连北,19:53
G8022,高速动车,长春,17:23,营口东,当天19:55,19:57,大连北,21:03
G8023,高速动车,大连北,18:40,营口东,当天19:40,19:42,长春,22:23
G8041,高速动车,大连北,06:10,营口东,当天07:03,07:05,沈阳,07:57
G8042,高速动车,沈阳北,06:02,营口东,当天06:58,07:00,大连,08:12
G8044,高速动车,沈阳北,07:08,营口东,当天08:11,08:13,大连,09:32
G8045,高速动车,大连,08:31,营口东,当天09:37,09:39,沈阳北,10:49
G8047,高速动车,大连,09:50,营口东,当天11:08,11:10,沈阳,12:03
G8051,高速动车,大连,12:01,营口东,当天13:08,13:10,沈阳北,13:59
G8055,高速动车,大连,15:08,营口东,当天16:28,16:30,沈阳北,17:21
G8067,高速动车,大连北,20:15,营口东,当天21:22,21:24,沈阳,22:16
G8069,高速动车,大连北,20:54,营口东,当天21:47,21:49,沈阳北,22:52
