车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2255/2258,普快,丹东,12:47,鹰手营子,第2日07:17,07:25,北京,11:32
2256/2257,普快,北京,12:20,鹰手营子,当天15:41,15:44,丹东,10:59
6419,普慢,通州西,08:05,鹰手营子,当天12:21,12:28,承德,14:52
6420,普慢,承德,10:43,鹰手营子,当天12:53,12:57,通州西,18:03
6433,普慢,兴隆县,07:08,鹰手营子,当天07:44,07:46,承德,10:00
6434,普慢,承德,17:44,鹰手营子,当天20:29,20:31,兴隆县,21:33
K7741/K7744,快速,承德,22:01,鹰手营子,当天23:33,23:35,石家庄,07:48
K7742/K7743,快速,石家庄,20:06,鹰手营子,第2日04:14,04:17,承德,06:30
K7751/K7754,快速,承德,07:49,鹰手营子,当天09:24,09:26,石家庄,18:48
K7752/K7753,快速,石家庄,20:05,鹰手营子,第2日04:09,04:13,承德,06:50
K7761/K7764,快速,承德,20:09,鹰手营子,当天22:06,22:16,邯郸,09:00
Y511/Y514,旅游列车,承德,13:13,鹰手营子,当天14:43,14:48,邯郸,01:17
