车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2944/D2945,动车组,广州南,08:25,永福南,当天12:35,12:37,柳州,13:44
D2951/D2954,动车组,柳州,08:30,永福南,当天09:16,09:18,广州南,12:50
D2955/D2958,动车组,柳州,12:37,永福南,当天13:29,13:31,广州南,17:04
D2956/D2957,动车组,广州南,17:25,永福南,当天20:49,20:51,柳州,21:38
D2991/D2994,动车组,柳州,11:58,永福南,当天12:44,12:46,广州南,16:00
D3522,动车组,南宁东,07:50,永福南,当天09:55,09:57,贵阳北,13:20
D3529,动车组,贵阳北,15:55,永福南,当天19:18,19:20,梧州南,22:44
D3562,动车组,南宁东,07:50,永福南,当天09:55,09:57,贵阳北,13:25
D3567,动车组,贵阳北,16:00,永福南,当天19:11,19:19,梧州南,22:50
D3568,动车组,北海,14:30,永福南,当天19:06,19:08,贵阳北,22:24
D3569,动车组,贵阳北,16:14,永福南,当天19:38,19:46,南宁东,21:59
D3671/D3674,动车组,柳州,18:32,永福南,当天19:18,19:20,广州南,22:53
D3672/D3673,动车组,广州南,13:07,永福南,当天16:56,16:58,柳州,17:50
D3675/D3678,动车组,柳州,11:53,永福南,当天12:39,12:43,广州南,16:01
D3751,动车组,桂林北,06:45,永福南,当天07:22,07:24,广州南,12:41
D3943,动车组,衡阳东,07:05,永福南,当天10:16,10:18,昆明南,18:00
D4125,动车组,桂林北,07:15,永福南,当天07:52,07:54,昆明南,15:18
D8203,动车组,桂林北,08:10,永福南,当天08:47,08:49,南宁东,11:13
D8208,动车组,南宁东,11:40,永福南,当天13:58,14:00,桂林,14:24
D8210,动车组,南宁东,17:35,永福南,当天20:00,20:03,桂林北,20:46
D8212,动车组,南宁东,18:40,永福南,当天21:04,21:06,桂林北,21:45
D8213,动车组,桂林,15:37,永福南,当天15:59,16:01,南宁东,18:13
D8216,动车组,南宁东,11:38,永福南,当天14:03,14:05,桂林,14:28
D8219,动车组,桂林,17:54,永福南,当天18:16,18:18,南宁东,20:25
D8232/D8233,动车组,贺州,08:10,永福南,当天10:18,10:20,南宁东,12:31
D8235/D8238,动车组,南宁东,12:58,永福南,当天15:21,15:23,贺州,17:24
D8263,动车组,贺州,08:10,永福南,当天10:05,10:07,南宁东,12:20
D8264,动车组,北海,09:45,永福南,当天14:13,14:15,桂林,14:37
D8267,动车组,桂林,15:00,永福南,当天15:22,15:24,北海,19:22
D8269/D8272,动车组,南宁东,12:58,永福南,当天15:21,15:23,贺州,17:23
D8274,动车组,北海,09:50,永福南,当天14:06,14:09,桂林,14:29
D8293,动车组,桂林北,08:00,永福南,当天08:37,08:39,防城港北,12:23
D8295,动车组,桂林,13:10,永福南,当天13:30,13:32,防城港北,17:18
D8372,动车组,梧州南,13:19,永福南,当天16:31,16:33,桂林北,17:11
D8392,动车组,玉林,11:35,永福南,当天14:41,14:43,桂林,15:05
D8401,动车组,桂林北,06:26,永福南,当天06:55,06:57,柳州,07:50
D8402,动车组,北海,08:38,永福南,当天12:57,13:05,桂林,13:28
D8404,动车组,北海,09:42,永福南,当天14:13,14:15,桂林,14:38
D8411,动车组,桂林,15:02,永福南,当天15:24,15:26,北海,19:23
D8412,动车组,北海,16:54,永福南,当天21:13,21:15,桂林北,21:52
D8415,动车组,桂林,15:37,永福南,当天15:59,16:01,北海,20:02
D8451,动车组,桂林北,08:00,永福南,当天08:37,08:39,防城港北,12:22
D8452,动车组,防城港北,13:02,永福南,当天17:27,17:29,桂林北,18:06
D8453,动车组,桂林,13:12,永福南,当天13:32,13:34,防城港北,17:15
D8461,动车组,桂林北,07:04,永福南,当天07:39,07:41,百色,12:12
D8481,动车组,桂林北,07:24,永福南,当天08:02,08:04,玉林,11:10
D8483,动车组,桂林,15:48,永福南,当天16:10,16:12,玉林,19:25
D8492,动车组,北海,12:30,永福南,当天16:46,16:48,三江南,18:08
D8495,动车组,东安东,16:18,永福南,当天18:04,18:06,南宁,20:36
D9665,动车组,桂林北,12:24,永福南,当天12:53,12:55,南宁东,15:27
D9671,动车组,桂林北,06:26,永福南,当天06:57,06:59,柳州,07:52
D9673,动车组,桂林北,06:39,永福南,当天07:16,07:18,柳州,08:11
D9691,动车组,桂林北,07:25,永福南,当天08:02,08:04,玉林,11:05
D9692,动车组,玉林,11:40,永福南,当天14:42,14:44,桂林,15:05
D9693,动车组,桂林,16:00,永福南,当天16:20,16:22,玉林,19:22
G1501,高速动车,上海虹桥,10:03,永福南,当天19:27,19:29,南宁东,21:42
G1503,高速动车,南京南,08:32,永福南,当天18:40,18:42,南宁东,20:55
K9301,快速,桂林北,14:50,永福南,当天16:05,16:08,柳州,17:35
