车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2501,动车组,太原南,07:00,永济北,当天09:40,09:42,西安北,10:48
D2502,动车组,西安北,07:35,永济北,当天08:40,08:42,太原南,11:30
D2503,动车组,太原南,07:22,永济北,当天09:55,09:57,西安北,11:02
D2504,动车组,西安北,08:08,永济北,当天09:13,09:15,太原南,11:50
D2512,动车组,西安北,11:08,永济北,当天12:05,12:07,太原南,14:52
D2516,动车组,西安北,12:10,永济北,当天13:15,13:17,太原南,15:46
D2517,动车组,太原南,13:18,永济北,当天15:58,16:00,西安北,16:58
D2518,动车组,西安北,12:50,永济北,当天13:54,13:56,太原南,16:31
D2520,动车组,西安北,13:40,永济北,当天14:38,14:40,太原南,17:28
D2521,动车组,太原南,15:19,永济北,当天17:45,17:47,西安北,18:45
D2528,动车组,西安北,17:25,永济北,当天18:30,18:32,太原南,21:07
D2530,动车组,西安北,17:50,永济北,当天18:56,18:58,太原南,21:19
D2531,动车组,太原南,18:30,永济北,当天21:10,21:12,西安北,22:17
D2536,动车组,西安北,10:00,永济北,当天11:05,11:07,太原南,13:28
D2537,动车组,太原南,06:26,永济北,当天08:45,08:47,西安北,09:52
D2538,动车组,西安北,10:41,永济北,当天11:45,11:47,太原南,14:39
D2545,动车组,临汾西,07:00,永济北,当天08:22,08:24,西安北,09:16
D2546,动车组,西安北,20:05,永济北,当天21:03,21:06,临汾西,22:12
D2561,动车组,太原南,09:23,永济北,当天12:03,12:05,宝鸡南,14:05
D2562,动车组,宝鸡南,15:00,永济北,当天17:17,17:19,太原南,20:09
D2563,动车组,太原南,12:11,永济北,当天14:51,14:53,宝鸡南,17:01
D2567,动车组,太原南,07:48,永济北,当天10:17,10:19,兰州西,14:50
D2568,动车组,兰州西,15:00,永济北,当天19:10,19:13,太原南,21:37
D4021,动车组,太原南,09:04,永济北,当天11:44,11:46,西安北,12:51
D4025,动车组,运城北,08:03,永济北,当天08:22,08:24,西安北,09:16
D4026,动车组,西安北,06:28,永济北,当天07:18,07:20,运城北,07:40
D5341,动车组,太原南,08:35,永济北,当天11:09,11:09,永济北,11:09
D5342,动车组,永济北,17:05,永济北,当天17:05,17:05,太原南,19:49
D5357,动车组,太原南,12:29,永济北,当天15:07,15:07,永济北,15:07
D5358,动车组,永济北,15:43,永济北,当天15:43,15:43,太原南,18:10
D9215,动车组,太原南,06:15,永济北,当天08:38,08:38,永济北,08:38
D9216,动车组,永济北,09:00,永济北,当天09:00,09:00,太原南,11:40
D9217,动车组,太原南,12:30,永济北,当天15:07,15:07,永济北,15:07
D9218,动车组,永济北,15:43,永济北,当天15:43,15:43,太原南,18:10
G605,高速动车,北京西,10:28,永济北,当天16:43,16:43,永济北,16:43
G616,高速动车,永济北,11:29,永济北,当天11:29,11:29,北京西,17:28
