车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D331/D334,动车组,武汉,08:12,永康南,当天14:52,14:54,温州南,15:53
D332/D333,动车组,温州南,13:12,永康南,当天14:20,14:22,武汉,20:30
D4165,动车组,金华南,16:56,永康南,当天17:14,17:16,福州,20:34
D4166,动车组,福州,12:52,永康南,当天16:10,16:12,金华南,16:36
D5585/D5588,动车组,合肥南,07:33,永康南,当天11:37,11:39,温州南,12:52
D5586/D5587,动车组,温州南,16:33,永康南,当天17:43,17:46,合肥南,22:09
G1732,高速动车,温州南,16:15,永康南,当天17:18,17:20,济南西,23:16
G1966/G1967,高速动车,温州南,15:32,永康南,当天16:34,16:36,郑州东,23:23
G2306/G2307,高速动车,温州南,08:10,永康南,当天09:12,09:15,贵阳北,17:15
G2316/G2317,高速动车,温州南,14:30,永康南,当天15:32,15:34,长沙南,20:08
G2321/G2324,高速动车,南昌西,09:51,永康南,当天12:50,12:52,温州南,13:49
G2322/G2323,高速动车,温州南,14:15,永康南,当天15:17,15:19,南昌西,18:07
G2326/G2327,高速动车,温州南,09:07,永康南,当天10:09,10:11,南昌西,13:07
G7322,高速动车,苍南,12:08,永康南,当天13:30,13:32,上海虹桥,15:44
G7323,高速动车,上海虹桥,17:53,永康南,当天20:27,20:29,温州南,21:38
G7324,高速动车,温州南,08:38,永康南,当天09:40,09:42,上海虹桥,12:00
G7325,高速动车,上海虹桥,08:31,永康南,当天11:28,11:30,温州南,12:33
G7330,高速动车,温州南,06:40,永康南,当天07:42,07:44,上海虹桥,10:07
G7331,高速动车,上海虹桥,06:13,永康南,当天08:36,08:38,温州南,09:41
G7332,高速动车,苍南,07:51,永康南,当天09:30,09:32,上海虹桥,11:51
G7333,高速动车,上海虹桥,06:30,永康南,当天08:45,08:47,温州南,09:56
G7334,高速动车,温州南,11:30,永康南,当天12:32,12:34,上海虹桥,15:08
G7335,高速动车,上海虹桥,12:30,永康南,当天15:01,15:03,苍南,16:32
G7337,高速动车,上海虹桥,15:32,永康南,当天17:47,17:49,苍南,19:50
G7338,高速动车,温州南,17:57,永康南,当天19:05,19:07,上海虹桥,21:28
G7339,高速动车,上海虹桥,18:35,永康南,当天20:53,20:55,温州南,22:04
G7344,高速动车,苍南,06:56,永康南,当天08:46,08:48,上海虹桥,11:11
G7346,高速动车,苍南,08:50,永康南,当天10:30,10:32,杭州东,11:55
G7348,高速动车,丽水,11:19,永康南,当天11:44,11:46,上海虹桥,14:04
G7349,高速动车,南京南,07:30,永康南,当天11:17,11:19,温州南,12:27
G7350,高速动车,苍南,17:36,永康南,当天19:18,19:20,南京南,23:28
G7380,高速动车,丽水,13:19,永康南,当天13:51,13:54,杭州东,15:18
G7610/G7616,高速动车,温州南,09:59,永康南,当天11:07,11:09,合肥南,15:05
G7615,高速动车,合肥南,15:34,永康南,当天19:34,19:36,温州南,20:45
G7620,高速动车,温州南,17:07,永康南,当天18:15,18:18,南京南,21:06
G7621/G7624,高速动车,苍南,09:53,永康南,当天11:31,11:33,杭州东,12:49
G7622/G7623,高速动车,杭州东,17:36,永康南,当天19:02,19:04,苍南,21:04
G7625,高速动车,南京南,06:48,永康南,当天09:48,09:50,温州南,10:54
G7626,高速动车,温州南,15:45,永康南,当天16:54,16:56,南京南,19:48
G7628,高速动车,温州南,19:25,永康南,当天20:27,20:30,南京南,23:09
G7629/G7637,高速动车,南京南,18:34,永康南,当天21:12,21:14,苍南,22:54
G7632/G7633,高速动车,丽水,08:08,永康南,当天08:27,08:29,合肥南,12:17
G7635,高速动车,南京南,09:01,永康南,当天11:59,12:01,苍南,13:42
G7636,高速动车,温州南,19:33,永康南,当天20:29,20:31,南京南,23:02
G9303,高速动车,上海虹桥,11:04,永康南,当天13:44,13:46,温州南,14:50
G9304,高速动车,温州南,20:33,永康南,当天21:41,21:43,上海虹桥,23:37
G9305,高速动车,杭州东,18:10,永康南,当天19:17,19:20,温州南,20:17
G9306,高速动车,温州南,15:16,永康南,当天16:24,16:26,杭州东,17:53
G9308,高速动车,苍南,13:07,永康南,当天14:52,14:54,杭州东,16:23
G9309,高速动车,杭州东,17:09,永康南,当天18:27,18:29,温州南,19:32
G9310,高速动车,温州南,19:49,永康南,当天20:57,20:59,杭州东,22:12
G9316,高速动车,温州南,09:39,永康南,当天10:47,10:50,杭州东,11:55
G9319,高速动车,杭州东,17:50,永康南,当天19:47,19:49,温州南,20:52
G9321,高速动车,杭州东,20:14,永康南,当天21:46,21:48,丽水,22:08
G9328,高速动车,温州南,20:20,永康南,当天21:28,21:40,上海虹桥,23:49
G9344,高速动车,苍南,06:56,永康南,当天08:46,08:48,上海虹桥,11:11
G9371,高速动车,杭州东,17:50,永康南,当天19:02,19:04,温州南,20:06
G9373,高速动车,杭州东,16:46,永康南,当天18:29,18:32,温州南,19:40
G9383,高速动车,上海虹桥,11:14,永康南,当天13:37,13:44,温州南,14:52
