车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2225/D2228,动车组,重庆北,08:59,尤溪,当天21:30,21:32,福州,22:33
D2601/D2604,动车组,福州,07:58,尤溪,当天08:52,08:54,长沙南,13:45
D2602/D2603,动车组,长沙南,16:22,尤溪,当天21:14,21:16,福州,22:20
D2605/D2608,动车组,厦门北,08:34,尤溪,当天10:35,10:38,长沙南,15:50
D2606,动车组,长沙南,14:15,尤溪,当天19:01,19:03,厦门北,21:06
D295/D298,动车组,郑州,08:24,尤溪,当天17:51,17:53,福州,18:47
D3276/D3277,动车组,汉口,08:30,尤溪,当天14:39,14:41,厦门北,16:28
D6501,动车组,南昌,07:47,尤溪,当天10:44,10:46,福州,11:47
D6503,动车组,南昌,09:46,尤溪,当天12:49,12:51,福州,13:46
D6504,动车组,福州,13:11,尤溪,当天14:05,14:07,南昌,16:58
D6505,动车组,九江,09:17,尤溪,当天13:26,13:28,福州,14:23
D6508,动车组,福州,14:40,尤溪,当天15:34,15:37,九江,19:39
D6509,动车组,南昌西,14:43,尤溪,当天17:26,17:28,福州,18:23
D6510,动车组,福州,17:47,尤溪,当天18:41,18:43,南昌,21:46
D6524,动车组,厦门北,08:49,尤溪,当天11:01,11:03,南昌西,13:47
D6526,动车组,厦门北,14:22,尤溪,当天16:08,16:10,南昌,19:02
D6531,动车组,南昌,17:13,尤溪,当天20:16,20:18,厦门,22:34
D6532,动车组,厦门,17:50,尤溪,当天20:24,20:26,南昌,23:26
D6533,动车组,南昌西,17:57,尤溪,当天20:34,20:36,厦门北,22:25
D6541,动车组,三明北,07:57,尤溪,当天08:15,08:17,福州,09:18
D6542,动车组,福州,18:51,尤溪,当天19:45,19:47,三明北,20:07
D6543,动车组,三明北,15:08,尤溪,当天15:26,15:28,福州,16:29
D6544,动车组,福州,13:34,尤溪,当天14:28,14:30,三明北,14:50
D6549,动车组,建宁县北,18:12,尤溪,当天19:21,19:23,福州,20:26
D6550,动车组,福州,14:55,尤溪,当天15:49,15:51,建宁县北,17:07
D6649,动车组,泰宁,18:56,尤溪,当天19:51,19:53,福州,20:48
D6650,动车组,福州,16:31,尤溪,当天17:31,17:33,泰宁,18:41
D9595,动车组,三明北,07:15,尤溪,当天07:33,07:35,厦门,09:54
D9596,动车组,厦门,19:30,尤溪,当天21:40,21:42,三明北,22:01
D9597,动车组,三明北,07:57,尤溪,当天08:15,08:17,福州,09:18
D9598,动车组,福州,18:54,尤溪,当天19:48,19:50,三明北,20:10
D9609,动车组,建宁县北,18:13,尤溪,当天19:21,19:23,福州,20:24
D9610,动车组,福州,14:55,尤溪,当天15:55,15:57,建宁县北,17:23
D9614,动车组,福州,14:16,尤溪,当天15:16,15:18,建宁县北,16:35
D9619,动车组,泰宁,18:56,尤溪,当天19:51,19:54,福州,20:49
D9620,动车组,福州,16:31,尤溪,当天17:31,17:33,泰宁,18:37
D9631,动车组,建宁县北,09:44,尤溪,当天10:54,10:56,福州,11:59
D9632,动车组,福州,06:42,尤溪,当天07:54,07:58,建宁县北,09:20
D9879,动车组,建宁县北,15:02,尤溪,当天16:53,16:56,福州,17:59
D9880,动车组,福州,11:08,尤溪,当天12:08,12:10,建宁县北,13:47
D9925,动车组,南昌,07:51,尤溪,当天10:44,10:46,福州,11:47
D9926,动车组,福州,13:14,尤溪,当天14:08,14:10,南昌,16:55
D9929,动车组,南昌,12:47,尤溪,当天15:47,15:49,漳州,18:05
D9934/D9935,动车组,龙岩,15:25,尤溪,当天18:28,18:59,南昌西,21:52
D9943,动车组,三明北,11:55,尤溪,当天12:13,12:15,福州,13:16
D9944,动车组,福州,10:13,尤溪,当天11:13,11:15,三明北,11:35
D9952,动车组,福州,10:26,尤溪,当天11:26,11:28,建宁县北,12:44
D9955/D9956,动车组,三明北,18:13,尤溪,当天18:31,18:33,福州,19:56
D9979,动车组,建宁县北,09:22,尤溪,当天10:30,10:32,福州,11:33
D9980,动车组,福州,06:34,尤溪,当天07:34,07:36,建宁县北,09:05
D9985,动车组,三明北,08:40,尤溪,当天08:58,09:00,厦门北,12:07
D9986/D9987,动车组,厦门,18:50,尤溪,当天22:21,22:23,三明北,22:42
K1316/K1317,快速,福州,11:50,尤溪,当天13:26,13:36,呼和浩特东,08:30
