车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1147/1150,普快,连云港东,16:15,虞城县,当天21:34,21:38,宝鸡,10:36
1501/1504,普快,连云港东,17:29,虞城县,当天22:04,22:07,北京,08:15
1502/1503,普快,北京,09:15,虞城县,当天18:40,18:45,连云港东,23:36
1551/1554,普快,太原,19:30,虞城县,第2日09:11,09:15,连云港东,14:20
2594/2595,普快,杭州,15:24,虞城县,第2日05:43,05:46,郑州,08:45
K1025/K1028,快速,兰州,23:56,虞城县,第2日20:58,21:01,青岛,07:48
K1351/K1354,快速,连云港东,16:03,虞城县,当天21:21,21:29,乌鲁木齐,15:13
K1537/K1540,快速,南京,14:28,虞城县,当天21:21,21:29,乌鲁木齐,15:13
K1611/K1614,快速,连云港东,18:05,虞城县,当天22:27,22:30,北京,08:16
K4246/K4247,快速,昆山,19:55,虞城县,第2日10:57,11:10,兰州,09:45
