车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7535/7538,普慢,嘉峪关,08:15,玉门,当天10:22,10:26,敦煌,14:11
7536/7537,普慢,敦煌,15:22,玉门,当天19:08,19:09,嘉峪关,21:39
D2704,动车组,乌鲁木齐,08:56,玉门,当天14:54,14:56,兰州西,20:52
D2705,动车组,兰州西,08:54,玉门,当天14:34,14:36,乌鲁木齐,20:45
D2707,动车组,兰州西,09:30,玉门,当天15:10,15:12,乌鲁木齐,21:16
D2708,动车组,乌鲁木齐,10:15,玉门,当天16:18,16:20,兰州西,21:56
D2710,动车组,乌鲁木齐,10:36,玉门,当天16:37,16:39,兰州西,22:13
D2713,动车组,兰州西,11:20,玉门,当天16:59,17:01,乌鲁木齐,23:28
D2714,动车组,乌鲁木齐,11:44,玉门,当天17:41,17:43,兰州西,23:12
D2719,动车组,西宁,11:20,玉门,当天15:45,15:47,乌鲁木齐,21:58
D2746,动车组,玉门,08:06,玉门,当天08:06,08:06,兰州西,13:39
D2757,动车组,兰州,17:30,玉门,当天23:13,23:13,玉门,23:13
D4181,动车组,民和南,09:48,玉门,当天15:58,16:00,乌鲁木齐,22:02
D4719,动车组,西宁,08:40,玉门,当天13:13,13:15,乌鲁木齐南,19:20
D4817,动车组,兰州西,12:00,玉门,当天18:26,18:28,乌鲁木齐南,00:25
K1351/K1354,快速,连云港东,16:03,玉门,第3日02:32,02:35,乌鲁木齐,15:13
K1537/K1540,快速,南京,14:28,玉门,第3日02:32,02:35,乌鲁木齐,15:13
K175,快速,商丘,17:20,玉门,第2日23:56,23:59,乌鲁木齐,12:34
K9667/K9670,快速,兰州,17:00,玉门,第2日04:10,04:13,敦煌,07:13
K9668/K9669,快速,敦煌,18:46,玉门,当天21:46,21:48,兰州,09:15
T4601,空调特快,张掖,11:10,玉门,当天14:56,15:00,敦煌,18:15
T4602/T4603,空调特快,敦煌,19:40,玉门,当天22:24,22:26,嘉峪关,23:50
