车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3322,动车组,武夷山东,07:31,玉山南,当天08:23,08:25,上海虹桥,11:23
D4636,动车组,南昌西,06:43,玉山南,当天08:29,08:32,上海虹桥,11:15
D4671,动车组,南京南,19:16,玉山南,当天22:35,22:37,鹰潭北,23:31
G1302,高速动车,广州南,11:23,玉山南,当天17:15,17:17,上海虹桥,19:51
G1303,高速动车,上海虹桥,14:10,玉山南,当天16:49,16:51,广州南,22:45
G1331,高速动车,杭州东,14:59,玉山南,当天16:31,16:33,贵阳北,23:00
G1347,高速动车,上海虹桥,09:51,玉山南,当天12:22,12:24,长沙南,15:17
G1354,高速动车,长沙南,11:40,玉山南,当天14:31,14:33,上海虹桥,17:03
G1362,高速动车,长沙南,13:25,玉山南,当天16:27,16:29,上海虹桥,19:04
G1369,高速动车,上海虹桥,12:40,玉山南,当天15:10,15:12,怀化南,20:10
G1371,高速动车,上海虹桥,07:22,玉山南,当天10:06,10:08,昆明南,19:18
G1382,高速动车,南昌西,07:32,玉山南,当天08:49,08:51,上海虹桥,11:31
G1386,高速动车,南昌西,10:05,玉山南,当天11:29,11:36,常州北,15:04
G1404,高速动车,广州南,15:57,玉山南,当天21:41,21:43,杭州东,23:25
G1416/G1417,高速动车,宁波,07:00,玉山南,当天09:56,10:02,长沙南,13:04
G1493,高速动车,南京南,13:00,玉山南,当天16:09,16:20,南昌西,17:45
G1507/G1510,高速动车,黄山北,13:50,玉山南,当天15:25,15:31,上海虹桥,17:56
G1508/G1509,高速动车,上海虹桥,08:42,玉山南,当天11:24,11:26,黄山北,13:13
G1517/G1520,高速动车,黄山北,08:11,玉山南,当天09:33,09:35,上海虹桥,12:22
G1518/G1519,高速动车,上海虹桥,18:07,玉山南,当天20:48,20:50,黄山北,22:13
G1634,高速动车,福州,09:01,玉山南,当天11:05,11:07,上海虹桥,13:37
G1637,高速动车,上海虹桥,15:17,玉山南,当天18:00,18:09,福州,20:18
G1639,高速动车,上海虹桥,17:22,玉山南,当天19:56,19:58,福州,22:08
G1653,高速动车,上海虹桥,08:15,玉山南,当天10:47,10:58,厦门北,14:40
G1656,高速动车,厦门北,14:09,玉山南,当天18:03,18:05,上海虹桥,20:38
G1661/G1664,高速动车,南京南,08:22,玉山南,当天11:29,11:32,龙岩,17:04
G1679,高速动车,杭州东,14:19,玉山南,当天15:51,15:53,厦门,20:11
G2316/G2317,高速动车,温州南,14:30,玉山南,当天16:54,16:56,长沙南,20:08
G2321/G2324,高速动车,南昌西,09:51,玉山南,当天11:15,11:17,温州南,13:49
G2325/G2328,高速动车,南昌西,13:35,玉山南,当天14:59,15:01,温州南,17:33
G2356/G2357,高速动车,宁波,14:43,玉山南,当天17:48,17:50,南昌西,19:21
G4741,高速动车,上海虹桥,06:15,玉山南,当天08:46,08:48,怀化南,14:30
G4742,高速动车,怀化南,16:38,玉山南,当天21:25,21:27,上海虹桥,23:50
G4762,高速动车,南昌西,17:12,玉山南,当天18:29,18:48,上海虹桥,21:51
G4764/G4765,高速动车,宁波,05:50,玉山南,当天08:41,08:43,南昌西,10:01
G4768,高速动车,萍乡北,18:15,玉山南,当天20:50,21:04,南京南,23:49
G4769,高速动车,上海虹桥,11:04,玉山南,当天14:06,14:18,萍乡北,17:04
G4773,高速动车,杭州东,14:13,玉山南,当天16:35,16:43,南昌西,18:11
G4777,高速动车,上海虹桥,04:40,玉山南,当天06:55,06:57,南昌西,08:21
G4779,高速动车,南京南,14:13,玉山南,当天18:20,18:28,南昌西,19:55
G4780,高速动车,南昌西,07:41,玉山南,当天09:12,09:14,南京南,12:55
G4781,高速动车,杭州东,04:30,玉山南,当天05:51,05:53,南昌西,07:18
G4798,高速动车,南昌西,13:19,玉山南,当天14:31,14:33,上海虹桥,17:03
G4905,高速动车,上海虹桥,19:46,玉山南,当天22:24,22:26,怀化南,02:56
G4933,高速动车,上海虹桥,16:36,玉山南,当天19:43,19:50,长沙南,22:50
G4937,高速动车,上海虹桥,03:37,玉山南,当天05:45,05:47,长沙南,08:58
G4974,高速动车,南昌西,21:25,玉山南,当天22:49,22:51,上海虹桥,00:57
G4987,高速动车,上海虹桥,06:25,玉山南,当天09:03,09:06,南昌西,10:31
G4988,高速动车,南昌西,11:06,玉山南,当天12:55,13:01,上海虹桥,15:35
G914,高速动车,福州,09:01,玉山南,当天11:05,11:07,上海虹桥,13:37
G917,高速动车,上海虹桥,15:17,玉山南,当天18:00,18:09,福州,20:18
