车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2686/2687,普快,丹东,16:20,榆树屯,第2日07:16,07:18,满洲里,19:46
4085,普快,泰来,10:15,榆树屯,当天12:02,12:04,富裕,13:35
4095,普快,泰来,07:17,榆树屯,当天09:06,09:08,齐齐哈尔,09:26
6259,普慢,齐齐哈尔,04:50,榆树屯,当天05:11,05:13,富拉尔基,05:34
6275,普慢,泰来,10:15,榆树屯,当天12:02,12:04,齐齐哈尔,12:25
6276,普慢,齐齐哈尔,06:58,榆树屯,当天07:22,07:32,泰来,09:45
6277,普慢,泰来,15:12,榆树屯,当天17:06,17:09,齐齐哈尔,17:30
6278,普慢,齐齐哈尔,09:55,榆树屯,当天10:17,10:19,泰来,12:15
6279,普慢,三间房,19:32,榆树屯,当天19:50,19:52,齐齐哈尔,20:13
6280,普慢,齐齐哈尔,17:59,榆树屯,当天18:21,18:23,三间房,18:40
K5107,快速,齐齐哈尔,12:00,榆树屯,当天12:16,12:18,碾子山,13:43
K5108,快速,碾子山,14:03,榆树屯,当天15:47,16:04,齐齐哈尔,16:34
K7055,快速,齐齐哈尔,22:40,榆树屯,当天23:01,23:03,海拉尔,07:02
K7245,快速,齐齐哈尔,05:38,榆树屯,当天05:55,05:57,碾子山,07:51
K7249,快速,齐齐哈尔,15:47,榆树屯,当天16:05,16:16,扎兰屯,19:00
