车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K115,快速,九江,15:15,樟树东,当天18:07,18:10,深圳,05:25
K272,快速,井冈山,18:13,樟树东,当天20:44,20:47,上海南,07:46
K441,快速,南昌,15:01,樟树东,当天16:23,16:27,广州东,05:24
K5862,快速,赣州,09:30,樟树东,当天13:15,13:19,九江,17:18
K5863,快速,南昌,16:27,樟树东,当天17:34,17:37,赣州,22:28
K5865,快速,南昌,23:35,樟树东,第2日01:10,01:14,赣州,05:10
K5866,快速,赣州,06:13,樟树东,当天10:02,10:05,南昌,11:21
K5881,快速,南昌,09:38,樟树东,当天11:20,11:32,瑞金,17:59
K5882,快速,瑞金,09:00,樟树东,当天14:37,14:41,南昌,16:05
K8704,快速,井冈山,08:33,樟树东,当天11:14,11:17,南昌,12:30
K8724,快速,赣州,07:55,樟树东,当天11:33,11:36,南昌,12:49
K8725,快速,九江,11:46,樟树东,当天14:09,14:12,定南,20:00
K8726,快速,定南,08:35,樟树东,当天14:29,14:32,九江,16:56
K8733,快速,南昌,06:27,樟树东,当天07:52,07:55,瑞金,13:22
