车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2305,动车组,厦门,16:21,漳州,当天16:53,16:55,深圳北,20:14
D2307,动车组,福州南,14:56,漳州,当天16:43,16:45,深圳北,20:06
D2308,动车组,深圳北,08:37,漳州,当天11:58,12:02,福州南,14:02
D2309,动车组,福州南,15:48,漳州,当天17:36,17:38,深圳北,21:02
D2315,动车组,泉州,07:13,漳州,当天08:01,08:03,深圳北,11:23
D2316,动车组,深圳北,10:26,漳州,当天13:44,13:46,厦门,14:19
D2318,动车组,深圳北,11:44,漳州,当天15:04,15:06,厦门北,15:27
D2320,动车组,深圳北,19:00,漳州,当天22:18,22:21,泉州,23:16
D2329,动车组,厦门北,11:37,漳州,当天11:56,11:58,深圳北,15:31
D2333,动车组,厦门,14:53,漳州,当天15:25,15:27,深圳北,18:53
D2334,动车组,深圳北,10:11,漳州,当天13:31,13:39,厦门,14:12
D2335,动车组,厦门,07:56,漳州,当天08:28,08:30,深圳北,11:54
D2338,动车组,深圳北,12:24,漳州,当天15:45,15:48,厦门,16:23
D2340,动车组,深圳北,16:07,漳州,当天19:32,19:35,厦门北,19:56
D2341,动车组,厦门北,11:47,漳州,当天12:06,12:09,深圳北,15:37
D2344,动车组,深圳北,08:15,漳州,当天11:52,11:54,泉州,12:48
D2346,动车组,深圳北,08:42,漳州,当天12:06,12:08,厦门北,12:30
D2348,动车组,深圳北,09:29,漳州,当天12:54,12:57,厦门北,13:18
D2351,动车组,龙岩,12:14,漳州,当天13:00,13:13,深圳北,16:19
D2354,动车组,深圳北,13:47,漳州,当天17:07,17:19,龙岩,18:09
D2355,动车组,龙岩,07:55,漳州,当天08:50,09:06,深圳北,12:36
D2356,动车组,深圳北,14:11,漳州,当天17:46,18:00,龙岩,18:49
D3334,动车组,深圳北,13:01,漳州,当天16:20,16:22,福州南,18:17
D3335,动车组,福州南,08:28,漳州,当天10:15,10:17,深圳北,13:42
D4082,动车组,深圳北,10:45,漳州,当天14:27,14:46,上海虹桥,23:44
D4091,动车组,厦门北,11:00,漳州,当天11:20,11:22,深圳北,14:48
D4093,动车组,厦门北,19:41,漳州,当天20:00,20:03,深圳北,23:13
D4094,动车组,深圳北,15:17,漳州,当天18:42,18:44,厦门北,19:03
D4097,动车组,福州南,18:16,漳州,当天20:19,20:21,深圳北,23:38
D6218,动车组,漳州,14:58,漳州,当天14:58,14:58,福州,17:09
D6221,动车组,福州,11:01,漳州,当天13:14,13:14,漳州,13:14
D6252,动车组,诏安,09:53,漳州,当天10:36,10:38,福州,13:07
D6255,动车组,福州,15:35,漳州,当天18:20,18:22,诏安,19:36
D6265,动车组,福州南,11:25,漳州,当天14:18,14:18,漳州,14:18
