车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2001,动车组,北京西,07:46,正定机场,当天09:16,09:18,运城北,13:53
D2002,动车组,临汾西,07:43,正定机场,当天11:16,11:29,北京西,12:52
D2003,动车组,北京西,13:17,正定机场,当天14:51,15:00,运城北,19:32
D2004,动车组,运城北,08:06,正定机场,当天13:05,13:12,北京西,15:03
D2006,动车组,运城北,14:25,正定机场,当天18:58,19:20,北京西,20:39
D6724,动车组,石家庄,07:15,正定机场,当天07:28,07:31,天津西,09:29
D6725,动车组,天津西,19:06,正定机场,当天20:51,21:04,石家庄,21:18
G1261/G1264,高速动车,郑州东,08:07,正定机场,当天10:36,10:38,哈尔滨西,19:19
G1281/G1284,高速动车,沈阳北,07:20,正定机场,当天13:03,13:05,西安北,17:55
G1559,高速动车,北京西,09:13,正定机场,当天10:16,10:18,商丘,13:48
G1563,高速动车,北京西,17:36,正定机场,当天18:46,18:48,郑州东,21:01
G2626/G2627,高速动车,武汉,07:33,正定机场,当天12:03,12:05,大连北,18:42
G4016,高速动车,西安北,11:49,正定机场,当天16:05,16:07,北京西,17:16
G528,高速动车,武汉,17:57,正定机场,当天22:06,22:08,北京西,23:12
G556,高速动车,宜昌东,08:20,正定机场,当天15:37,15:40,北京西,16:46
G559,高速动车,北京西,09:13,正定机场,当天10:16,10:18,郑州东,12:17
G567,高速动车,北京西,19:16,正定机场,当天20:19,20:21,郑州东,22:39
G571,高速动车,北京西,09:22,正定机场,当天10:25,10:27,信阳东,14:16
G604,高速动车,太原南,07:00,正定机场,当天08:41,08:43,北京西,09:56
G615,高速动车,北京西,15:06,正定机场,当天16:16,16:18,太原南,18:04
G621,高速动车,北京西,18:07,正定机场,当天19:17,19:19,太原南,21:10
G624,高速动车,太原南,18:00,正定机场,当天19:45,19:47,北京西,20:50
G6286/G6287,高速动车,秦皇岛,13:52,正定机场,当天17:00,17:02,邯郸东,18:04
G6292,高速动车,邯郸东,12:45,正定机场,当天13:52,13:58,天津西,15:46
G6293,高速动车,天津西,16:18,正定机场,当天18:13,18:15,石家庄,18:29
G657,高速动车,北京西,11:02,正定机场,当天12:05,12:07,西安北,16:14
G661,高速动车,北京西,14:48,正定机场,当天16:00,16:02,西安北,20:45
G6703,高速动车,北京西,12:44,正定机场,当天14:07,14:09,石家庄,14:23
G6706,高速动车,石家庄,07:30,正定机场,当天07:44,07:46,北京西,09:03
G6710,高速动车,石家庄,20:49,正定机场,当天21:03,21:05,北京西,22:15
G6731,高速动车,北京西,06:42,正定机场,当天07:52,07:54,邯郸东,08:50
G6734,高速动车,邯郸东,09:30,正定机场,当天10:47,10:50,北京西,12:15
G6736,高速动车,邯郸东,16:50,正定机场,当天17:57,17:59,北京西,19:02
G6742,高速动车,邯郸东,13:28,正定机场,当天14:45,14:47,北京西,16:14
G8954,高速动车,石家庄,06:58,正定机场,当天07:12,07:14,北京西,08:34
