车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D1003,动车组,郑州,14:47,郑州西,当天15:03,15:05,西安北,18:01
G1701/G1704,高速动车,秦皇岛,07:42,郑州西,当天13:31,13:33,西安北,15:18
G1885/G1888,高速动车,西安北,14:27,郑州西,当天16:27,16:29,南京南,20:26
G1894,高速动车,温州南,08:28,郑州西,当天16:20,16:22,西安北,18:39
G1912/G1913,高速动车,上海虹桥,06:17,郑州西,当天11:28,11:30,兰州西,16:55
G1923/G1926,高速动车,西安北,12:22,郑州西,当天14:17,14:19,上海虹桥,19:27
G1940/G1941,高速动车,上海虹桥,17:05,郑州西,当天21:55,21:57,西安北,23:36
G1981,高速动车,徐州东,06:40,郑州西,当天09:23,09:25,西安北,11:43
G2022,高速动车,兰州西,14:40,郑州西,当天20:17,20:20,郑州东,20:39
G2023,高速动车,商丘,08:17,郑州西,当天09:50,09:52,兰州西,15:22
G4611,高速动车,北京西,08:45,郑州西,当天12:59,13:10,宝鸡南,16:22
G652,高速动车,西安北,07:50,郑州西,当天09:44,09:46,北京西,13:27
G653,高速动车,北京西,08:05,郑州西,当天11:41,11:43,西安北,13:43
G670,高速动车,西安北,18:03,郑州西,当天19:56,19:58,北京西,23:29
G840/G841,高速动车,广州南,12:30,郑州西,当天19:35,19:37,西安北,21:37
G847/G850,高速动车,洛阳龙门,08:00,郑州西,当天08:25,08:34,广州南,15:55
G8961,高速动车,郑州东,22:05,郑州西,当天22:26,22:28,洛阳龙门,23:00
G8962,高速动车,洛阳龙门,07:32,郑州西,当天08:04,08:06,郑州东,08:27
G9191,高速动车,郑州东,07:20,郑州西,当天08:06,08:08,三门峡南,09:22
G9193,高速动车,郑州,12:47,郑州西,当天13:04,13:08,洛阳龙门,13:33
G9197,高速动车,郑州,16:44,郑州西,当天17:01,17:06,洛阳龙门,17:32
