车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1039/K1042,快速,兰州,22:02,镇平,第2日13:42,13:46,宁波,08:09
K1040/K1041,快速,宁波,12:54,镇平,第2日06:20,06:23,兰州,21:18
K1122/K1123,快速,绍兴,09:16,镇平,第2日01:27,01:31,宝鸡,10:19
K1309/K1312,快速,东莞东,18:10,镇平,第2日16:42,16:46,西宁,12:23
K1310/K1311,快速,西宁,20:00,镇平,第2日14:57,15:00,东莞东,13:17
K1322/K1323,快速,榆林,09:20,镇平,当天23:05,23:10,苏州,15:47
K1324,快速,苏州,17:15,镇平,第2日13:50,13:53,榆林,05:15
K305/K308,快速,温州,18:50,镇平,第2日17:03,17:08,兰州,08:08
K306/K307,快速,兰州,20:33,镇平,第2日12:44,13:06,温州,13:40
K394/K395,快速,福州,08:18,镇平,第2日08:35,08:39,西安,15:05
K445/K448,快速,西安,23:20,镇平,第2日04:31,04:46,深圳,04:37
K465/K468,快速,西安,14:46,镇平,当天20:17,20:20,宁波,14:41
K466/K467,快速,宁波,13:31,镇平,第2日07:00,07:05,西安,13:16
K655/K658,快速,呼和浩特东,16:34,镇平,第2日13:16,13:24,杭州,06:06
K656/K657,快速,杭州,21:35,镇平,第2日14:09,14:13,呼和浩特东,12:12
K705/K708,快速,安庆,17:05,镇平,第2日05:15,05:20,西安,12:26
K706/K707,快速,西安,13:52,镇平,当天19:35,19:40,安庆,08:24
K748/K749,快速,南宁,17:20,镇平,第2日20:20,20:24,西宁,15:36
K790/K791,快速,南昌,21:38,镇平,第2日07:49,07:54,西安,14:08
