车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K9357,快速,贵阳,06:15,织金,当天09:03,09:09,纳雍,10:05
K9358,快速,纳雍,10:50,织金,当天11:50,11:57,贵阳,14:51
K9359,快速,贵阳,15:44,织金,当天19:09,19:09,织金,19:09
K9360,快速,织金,19:52,织金,当天19:52,19:52,贵阳,22:48
K9381,快速,贵阳,07:45,织金,当天10:49,10:56,纳雍,11:47
K9382,快速,纳雍,12:35,织金,当天13:25,13:34,贵阳,16:36
K9383,快速,贵阳,17:28,织金,当天20:35,20:35,织金,20:35
K9384/K9385,快速,贵阳,12:36,织金,当天15:25,15:33,纳雍,16:30
K9386,快速,纳雍,17:22,织金,当天18:16,18:22,贵阳,21:25
K9387/K9390,快速,贵阳,16:40,织金,当天19:33,19:37,纳雍,20:35
K9388/K9389,快速,纳雍,07:50,织金,当天08:51,08:57,贵阳,11:38
K9571,快速,贵阳,07:40,织金,当天10:51,10:56,大方南,11:50
K9572/K9573,快速,大方南,12:33,织金,当天13:27,13:33,贵阳,16:36
K9575,快速,贵阳,17:28,织金,当天20:16,20:22,大方南,21:16
K9576/K9577,快速,大方南,08:38,织金,当天09:34,09:40,贵阳,12:30
