车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C8501,城际高速,兰州,05:55,中川机场,当天06:38,06:38,中川机场,06:38
C8502,城际高速,中川机场,07:20,中川机场,当天07:20,07:20,兰州,08:19
C8503,城际高速,兰州,06:57,中川机场,当天07:58,07:58,中川机场,07:58
C8504,城际高速,中川机场,08:40,中川机场,当天08:40,08:40,兰州,09:38
C8505,城际高速,兰州,09:13,中川机场,当天10:02,10:02,中川机场,10:02
C8506,城际高速,中川机场,10:34,中川机场,当天10:34,10:34,兰州,11:24
C8507,城际高速,兰州,08:43,中川机场,当天09:26,09:26,中川机场,09:26
C8508,城际高速,中川机场,09:54,中川机场,当天09:54,09:54,兰州,10:46
C8509,城际高速,兰州,10:00,中川机场,当天10:49,10:49,中川机场,10:49
C8510,城际高速,中川机场,11:05,中川机场,当天11:05,11:05,兰州,11:57
C8511,城际高速,兰州,11:48,中川机场,当天12:46,12:46,中川机场,12:46
C8512,城际高速,中川机场,13:07,中川机场,当天13:07,13:07,兰州,13:58
C8513,城际高速,兰州,11:02,中川机场,当天11:46,11:46,中川机场,11:46
C8514,城际高速,中川机场,12:19,中川机场,当天12:19,12:19,兰州,13:18
C8515,城际高速,兰州,12:54,中川机场,当天13:44,13:44,中川机场,13:44
C8516,城际高速,中川机场,14:22,中川机场,当天14:22,14:22,兰州,15:13
C8517,城际高速,兰州,14:15,中川机场,当天15:06,15:06,中川机场,15:06
C8518,城际高速,中川机场,15:49,中川机场,当天15:49,15:49,兰州,16:38
C8519,城际高速,兰州,13:42,中川机场,当天14:40,14:40,中川机场,14:40
C8520,城际高速,中川机场,15:16,中川机场,当天15:16,15:16,兰州,16:08
C8521,城际高速,兰州,15:33,中川机场,当天16:17,16:17,中川机场,16:17
C8522,城际高速,中川机场,16:45,中川机场,当天16:45,16:45,兰州,17:43
C8523,城际高速,兰州,17:08,中川机场,当天17:59,17:59,中川机场,17:59
C8524,城际高速,中川机场,18:40,中川机场,当天18:40,18:40,兰州,19:38
C8525,城际高速,兰州,16:42,中川机场,当天17:31,17:31,中川机场,17:31
C8526,城际高速,中川机场,18:05,中川机场,当天18:05,18:05,兰州,19:03
C8527,城际高速,兰州,18:13,中川机场,当天19:10,19:10,中川机场,19:10
C8528,城际高速,中川机场,20:03,中川机场,当天20:03,20:03,兰州,20:54
C8529,城际高速,兰州,20:05,中川机场,当天21:01,21:01,中川机场,21:01
C8530,城际高速,中川机场,21:49,中川机场,当天21:49,21:49,兰州,22:38
C8531,城际高速,兰州,19:23,中川机场,当天20:14,20:14,中川机场,20:14
C8532,城际高速,中川机场,20:45,中川机场,当天20:45,20:45,兰州,21:43
C8533,城际高速,兰州,21:22,中川机场,当天22:11,22:11,中川机场,22:11
C8534,城际高速,中川机场,22:34,中川机场,当天22:34,22:34,兰州,23:23
C8601,城际高速,兰州西,07:35,中川机场,当天08:13,08:13,中川机场,08:13
C8602,城际高速,中川机场,09:29,中川机场,当天09:29,09:29,兰州西,10:04
C8603,城际高速,兰州西,10:25,中川机场,当天11:01,11:01,中川机场,11:01
C8604,城际高速,中川机场,11:40,中川机场,当天11:40,11:40,兰州西,12:16
C8605,城际高速,兰州西,12:35,中川机场,当天13:10,13:10,中川机场,13:10
C8606,城际高速,中川机场,13:47,中川机场,当天13:47,13:47,兰州西,14:22
C8607,城际高速,兰州西,15:00,中川机场,当天15:37,15:37,中川机场,15:37
C8608,城际高速,中川机场,16:06,中川机场,当天16:06,16:06,兰州西,16:41
C8609,城际高速,兰州西,17:50,中川机场,当天18:25,18:25,中川机场,18:25
C8610,城际高速,中川机场,19:12,中川机场,当天19:12,19:12,兰州西,19:54
C8611,城际高速,兰州西,20:48,中川机场,当天21:23,21:23,中川机场,21:23
C8612,城际高速,中川机场,22:10,中川机场,当天22:10,22:10,兰州西,22:45
C9623,城际高速,兰州,09:50,中川机场,当天10:37,10:37,中川机场,10:37
C9624,城际高速,中川机场,11:20,中川机场,当天11:20,11:20,兰州,12:03
