车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2367,动车组,桂林北,13:45,钟山西,当天14:42,14:44,珠海,17:50
D2369,动车组,桂林北,11:40,钟山西,当天12:38,12:40,广州南,14:28
D2804,动车组,广州南,07:06,钟山西,当天08:57,08:59,贵阳北,12:44
D2808,动车组,珠海,07:45,钟山西,当天10:44,10:46,贵阳北,14:30
D2809,动车组,贵阳北,09:03,钟山西,当天12:37,12:39,广州南,14:33
D2817,动车组,贵阳北,10:44,钟山西,当天14:27,14:29,广州南,16:23
D2818,动车组,广州南,11:00,钟山西,当天12:47,12:49,贵阳北,16:41
D2820,动车组,广州南,11:49,钟山西,当天13:40,13:42,贵阳北,17:29
D2821,动车组,贵阳北,12:07,钟山西,当天15:33,15:35,广州南,17:30
D2826,动车组,广州南,14:18,钟山西,当天16:07,16:09,贵阳北,19:44
D2827,动车组,贵阳北,14:54,钟山西,当天18:20,18:22,珠海,21:18
D2829,动车组,贵阳北,15:36,钟山西,当天19:05,19:07,广州南,20:54
D2832,动车组,广州南,15:10,钟山西,当天17:07,17:09,贵阳北,20:50
D2839,动车组,贵阳北,17:25,钟山西,当天21:01,21:03,广州南,22:48
D2841,动车组,贵阳北,17:47,钟山西,当天21:28,21:30,广州南,23:17
D2851,动车组,贵阳北,15:05,钟山西,当天18:39,18:46,广州南,20:47
D2855,动车组,贵阳北,09:18,钟山西,当天13:03,13:05,广州南,14:59
D2857,动车组,贵阳北,15:08,钟山西,当天18:53,18:55,广州南,20:50
D2858,动车组,广州南,09:00,钟山西,当天10:50,10:52,贵阳北,14:47
D2860,动车组,广州南,10:37,钟山西,当天12:27,12:29,贵阳北,16:13
D2861,动车组,贵阳北,08:11,钟山西,当天11:36,11:38,广州南,13:30
D2863,动车组,贵阳北,09:39,钟山西,当天13:13,13:15,广州南,15:15
D2877/D2880,动车组,广州,11:25,钟山西,当天13:16,13:18,贵阳北,17:05
D2948/D2949,动车组,广州南,11:31,钟山西,当天13:28,13:30,柳州,15:47
D2951/D2954,动车组,柳州,08:30,钟山西,当天10:53,10:55,广州南,12:50
D2959,动车组,桂林北,07:35,钟山西,当天08:32,08:34,广州南,10:29
D2962,动车组,广州南,09:30,钟山西,当天11:22,11:24,桂林北,12:15
D2971,动车组,桂林北,15:31,钟山西,当天16:21,16:23,广州南,18:14
D2972,动车组,广州南,13:20,钟山西,当天15:24,15:32,三江南,17:12
D2973,动车组,桂林北,16:34,钟山西,当天17:38,17:40,广州南,19:39
D2974,动车组,广州南,15:45,钟山西,当天17:46,17:48,桂林北,18:46
D2976,动车组,广州南,16:35,钟山西,当天18:22,18:24,桂林北,19:15
D2977,动车组,桂林北,19:06,钟山西,当天19:56,19:58,广州南,21:59
D2978,动车组,广州南,17:27,钟山西,当天19:19,19:21,桂林北,20:12
D2979,动车组,桂林北,19:55,钟山西,当天20:52,20:54,广州南,22:40
D2995/D2998,动车组,广州,19:25,钟山西,当天21:19,21:21,桂林北,22:11
D2997,动车组,桂林北,08:17,钟山西,当天09:07,09:09,广州,11:05
D3672/D3673,动车组,广州南,13:07,钟山西,当天15:05,15:07,柳州,17:50
D8231/D8234,动车组,南宁东,09:30,钟山西,当天13:21,13:24,贺州,13:36
D8232/D8233,动车组,贺州,08:10,钟山西,当天08:22,08:24,南宁东,12:31
D8235/D8238,动车组,南宁东,12:58,钟山西,当天17:10,17:12,贺州,17:24
D8236/D8237,动车组,贺州,13:56,钟山西,当天14:09,14:15,南宁东,18:00
D8240,动车组,贺州,17:45,钟山西,当天17:57,18:08,南宁东,22:08
D8241/D8244,动车组,贺州,17:45,钟山西,当天17:57,18:08,南宁东,22:08
D8242/D8243,动车组,南宁东,18:21,钟山西,当天22:14,22:16,贺州,22:28
D8263,动车组,贺州,08:10,钟山西,当天08:22,08:24,南宁东,12:20
D8266,动车组,贺州,13:56,钟山西,当天14:07,14:15,南宁东,18:00
D8268,动车组,南宁东,09:30,钟山西,当天13:21,13:24,贺州,13:36
D8269/D8272,动车组,南宁东,12:58,钟山西,当天17:09,17:11,贺州,17:23
D8271,动车组,贺州,17:45,钟山西,当天17:57,18:06,南宁东,22:08
D8497,动车组,桂林北,06:40,钟山西,当天07:30,07:32,贺州,07:45
G2901,高速动车,桂林北,10:58,钟山西,当天11:48,11:50,深圳北,14:03
