车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1256/K1257,快速,温州,20:00,钟祥,第2日14:13,14:15,成都东,07:46
K355/K358,快速,重庆北,23:20,钟祥,第2日12:21,12:27,广州,05:12
K4706/K4707,快速,武昌,18:30,钟祥,当天21:41,21:43,吉首,08:50
K530/K531,快速,成都东,22:40,钟祥,第2日13:09,13:13,杭州,07:45
K8087/K8090,快速,恩施,07:00,钟祥,当天11:55,11:58,武昌,15:59
K8091,快速,汉口,20:30,钟祥,当天22:52,22:55,恩施,04:30
K8092,快速,恩施,08:30,钟祥,当天14:22,14:32,汉口,17:20
K8102,快速,荆门,08:25,钟祥,当天09:03,09:06,汉口,11:49
K8103,快速,汉口,17:20,钟祥,当天19:58,20:02,荆门,20:40
K8105,快速,汉口,12:25,钟祥,当天16:52,17:35,荆门,18:15
K8106,快速,荆门,19:15,钟祥,当天19:55,20:00,汉口,22:55
K8111,快速,汉口,12:25,钟祥,当天14:55,15:02,荆门,15:57
K8112,快速,荆门,16:55,钟祥,当天17:33,17:38,汉口,20:30
K8114/K8115,快速,武昌,15:05,钟祥,当天18:09,18:14,荆门,19:10
K8116,快速,荆门,08:52,钟祥,当天09:30,09:35,武昌,12:38
K8135,快速,汉口,12:30,钟祥,当天15:29,15:58,荆门,16:40
K8136,快速,荆门,08:00,钟祥,当天08:38,08:41,汉口,11:30
T6701,空调特快,汉口,07:38,钟祥,当天10:33,10:36,荆门,11:14
T6702,空调特快,荆门,16:40,钟祥,当天17:18,17:22,汉口,20:25
T6704/T6705,空调特快,武昌,11:51,钟祥,当天14:58,15:02,荆门,15:40
T6706,空调特快,荆门,14:00,钟祥,当天14:59,15:01,武昌,18:20
