车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6902,城际高速,株洲南,07:05,株洲南,当天07:05,07:05,长沙,07:47
C6903,城际高速,长沙,08:05,株洲南,当天09:00,09:00,株洲南,09:00
C6904,城际高速,株洲南,09:17,株洲南,当天09:17,09:17,长沙,10:08
C6905,城际高速,长沙,10:25,株洲南,当天11:13,11:13,株洲南,11:13
C6906,城际高速,株洲南,11:30,株洲南,当天11:30,11:30,长沙,12:22
C6907,城际高速,长沙,12:40,株洲南,当天13:32,13:32,株洲南,13:32
C6908,城际高速,株洲南,13:50,株洲南,当天13:50,13:50,长沙,14:35
C6909,城际高速,长沙,14:50,株洲南,当天15:35,15:35,株洲南,15:35
C6910,城际高速,株洲南,15:50,株洲南,当天15:50,15:50,长沙,16:42
C6911,城际高速,长沙,17:00,株洲南,当天18:00,18:00,株洲南,18:00
C6912,城际高速,株洲南,18:15,株洲南,当天18:15,18:15,长沙,19:00
C6913,城际高速,长沙,19:15,株洲南,当天20:11,20:11,株洲南,20:11
C6914,城际高速,株洲南,20:27,株洲南,当天20:27,20:27,长沙,21:14
C6915,城际高速,长沙,21:30,株洲南,当天22:30,22:30,株洲南,22:30
C6916,城际高速,株洲南,08:00,株洲南,当天08:00,08:00,长沙,09:09
C6917,城际高速,长沙,07:10,株洲南,当天07:52,07:52,株洲南,07:52
C6918,城际高速,株洲南,08:07,株洲南,当天08:07,08:07,长沙,08:56
C6919,城际高速,长沙,09:11,株洲南,当天10:02,10:02,株洲南,10:02
C6920,城际高速,株洲南,10:17,株洲南,当天10:17,10:17,长沙,11:09
C6921,城际高速,长沙,11:25,株洲南,当天12:18,12:18,株洲南,12:18
C6922,城际高速,株洲南,12:35,株洲南,当天12:35,12:35,长沙,13:30
C6923,城际高速,长沙,13:45,株洲南,当天14:30,14:30,株洲南,14:30
C6924,城际高速,株洲南,14:45,株洲南,当天14:45,14:45,长沙,15:35
C6925,城际高速,长沙,15:50,株洲南,当天16:38,16:38,株洲南,16:38
C6926,城际高速,株洲南,16:55,株洲南,当天16:55,16:55,长沙,17:44
C6927,城际高速,长沙,18:00,株洲南,当天18:42,18:42,株洲南,18:42
C6928,城际高速,株洲南,19:00,株洲南,当天19:00,19:00,长沙,19:52
C6929,城际高速,长沙,20:10,株洲南,当天21:03,21:03,株洲南,21:03
C6930,城际高速,株洲南,21:20,株洲南,当天21:20,21:20,长沙,21:57
C6931,城际高速,长沙,09:30,株洲南,当天10:29,10:29,株洲南,10:29
C6932,城际高速,株洲南,10:45,株洲南,当天10:45,10:45,长沙,11:39
C6933,城际高速,长沙,14:05,株洲南,当天14:57,14:57,株洲南,14:57
C6934,城际高速,株洲南,15:15,株洲南,当天15:15,15:15,长沙,16:17
C6935,城际高速,长沙,18:50,株洲南,当天19:35,19:35,株洲南,19:35
C6936,城际高速,株洲南,19:50,株洲南,当天19:50,19:50,长沙,20:45
