车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1007,高速动车,武汉,09:30,株洲西,当天11:22,11:24,深圳北,14:37
G1008,高速动车,深圳北,10:16,株洲西,当天13:20,13:22,武汉,15:12
G1009,高速动车,武汉,09:41,株洲西,当天11:28,11:35,深圳北,14:46
G1010,高速动车,深圳北,11:25,株洲西,当天14:23,14:26,武汉,16:24
G1013,高速动车,武汉,12:09,株洲西,当天14:01,14:03,深圳北,17:09
G1016,高速动车,深圳北,15:10,株洲西,当天18:18,18:20,武汉,20:15
G1101,高速动车,武汉,06:45,株洲西,当天08:35,08:37,广州南,11:11
G1103,高速动车,武汉,06:53,株洲西,当天08:44,08:50,广州南,11:24
G1106,高速动车,广州南,08:34,株洲西,当天11:06,11:08,武汉,13:01
G1107,高速动车,武汉,08:26,株洲西,当天10:29,10:35,广州南,13:09
G1112,高速动车,广州南,10:52,株洲西,当天13:15,13:17,武汉,15:02
G1115,高速动车,武汉,11:00,株洲西,当天12:51,12:53,广州南,15:22
G1116,高速动车,广州南,11:35,株洲西,当天14:03,14:05,武汉,15:57
G1120,高速动车,广州南,12:17,株洲西,当天14:46,14:48,武汉,16:52
G1126,高速动车,广州南,14:28,株洲西,当天17:02,17:04,武汉,19:04
G1127,高速动车,武汉,15:23,株洲西,当天16:59,17:01,广州南,19:34
G1128,高速动车,广州南,15:13,株洲西,当天17:34,17:40,南京南,22:56
G1129,高速动车,武汉,15:51,株洲西,当天17:35,17:37,广州南,20:11
G1133,高速动车,武汉,17:58,株洲西,当天19:59,20:01,广州南,22:39
G1138,高速动车,广州南,17:46,株洲西,当天20:14,20:16,武汉,22:15
G1143,高速动车,武汉,09:16,株洲西,当天11:15,11:17,广州南,13:55
G1144,高速动车,广州南,14:58,株洲西,当天17:19,17:21,武汉,19:10
G1145/G1148,高速动车,宜昌东,09:47,株洲西,当天14:16,14:18,广州南,16:47
G1151/G1154,高速动车,汉口,17:10,株洲西,当天19:28,19:30,广州南,21:56
G1152/G1153,高速动车,广州南,11:40,株洲西,当天14:08,14:10,汉口,16:26
G1156,高速动车,广州南,14:28,株洲西,当天17:02,17:04,黄冈东,20:51
G1302,高速动车,广州南,11:23,株洲西,当天13:57,13:59,上海虹桥,19:51
G1303,高速动车,上海虹桥,14:10,株洲西,当天20:04,20:10,广州南,22:45
G1316/G1317,高速动车,广州南,06:53,株洲西,当天09:14,09:16,成都东,20:48
G1402,高速动车,广州南,13:02,株洲西,当天15:33,15:35,上饶,18:56
G1403,高速动车,杭州东,07:53,株洲西,当天13:01,13:03,广州南,15:37
G1404,高速动车,广州南,15:57,株洲西,当天18:28,18:30,杭州东,23:25
G1406,高速动车,广州南,17:56,株洲西,当天20:36,20:38,南昌西,22:43
G1407,高速动车,南昌西,17:00,株洲西,当天19:03,19:05,广州南,21:32
G1408,高速动车,广州南,06:23,株洲西,当天08:44,08:46,南昌西,10:51
G1505,高速动车,南京南,07:20,株洲西,当天14:21,14:23,南宁东,19:51
G1747,高速动车,蚌埠南,15:39,株洲西,当天21:07,21:09,广州南,23:43
G276/G277,高速动车,广州南,06:47,株洲西,当天09:08,09:10,青岛,19:39
G4012,高速动车,广州南,12:30,株洲西,当天14:52,14:54,郑州东,19:00
G4054,高速动车,广州南,06:23,株洲西,当天08:44,08:46,南昌西,10:59
G421,高速动车,北京西,09:05,株洲西,当天16:32,16:34,南宁东,22:28
G423,高速动车,石家庄,08:00,株洲西,当天14:07,14:09,南宁东,19:57
G4673,高速动车,武汉,18:23,株洲西,当天20:18,20:20,广州南,22:50
G536,高速动车,桂林,10:50,株洲西,当天13:47,13:49,长沙南,14:08
G546,高速动车,广州南,14:14,株洲西,当天16:47,16:49,郑州东,21:11
G549,高速动车,郑州东,14:37,株洲西,当天18:20,18:22,广州南,20:49
G551,高速动车,漯河西,08:00,株洲西,当天11:46,11:48,深圳北,14:57
G552,高速动车,广州南,09:33,株洲西,当天12:01,12:06,信阳东,14:53
G6014,高速动车,福田,17:45,株洲西,当天20:58,21:00,长沙南,21:19
G6015,高速动车,长沙南,07:50,株洲西,当天08:05,08:07,福田,11:32
G6016,高速动车,深圳北,11:08,株洲西,当天14:13,14:15,长沙南,14:34
G6018,高速动车,福田,11:56,株洲西,当天15:07,15:09,长沙南,15:29
G6020,高速动车,深圳北,13:54,株洲西,当天17:07,17:09,长沙南,17:29
G6022,高速动车,深圳北,14:20,株洲西,当天17:29,17:32,长沙南,17:51
G6023,高速动车,长沙南,13:40,株洲西,当天13:55,13:57,福田,17:15
G6025,高速动车,长沙南,18:21,株洲西,当天18:36,18:38,深圳北,21:45
G6026,高速动车,深圳北,18:19,株洲西,当天21:15,21:17,长沙南,21:37
G6029,高速动车,长沙南,08:05,株洲西,当天08:20,08:22,深圳北,11:36
G6033,高速动车,岳阳东,17:17,株洲西,当天18:25,18:27,深圳北,21:34
G6034,高速动车,深圳北,11:55,株洲西,当天14:57,14:59,岳阳东,16:06
G6103,高速动车,长沙南,07:17,株洲西,当天07:32,07:34,广州南,10:09
G6112,高速动车,珠海,17:39,株洲西,当天21:05,21:11,长沙南,21:31
G6116,高速动车,广州南,19:48,株洲西,当天22:09,22:11,长沙南,22:31
G6120,高速动车,广州南,20:40,株洲西,当天23:08,23:10,长沙南,23:30
G6121,高速动车,长沙南,21:05,株洲西,当天21:20,21:22,广州南,23:49
G6142/G6143,高速动车,福田,08:10,株洲西,当天11:17,11:19,怀化南,13:31
G6146/G6147,高速动车,福田,14:00,株洲西,当天17:24,17:27,怀化南,19:48
G6151/G6154,高速动车,怀化南,10:50,株洲西,当天13:08,13:10,广州南,15:45
G632,高速动车,广州南,13:13,株洲西,当天15:38,15:40,南昌西,17:37
G6482/G6483,高速动车,福田,13:55,株洲西,当天17:13,17:15,邵阳,19:27
G6485/G6488,高速动车,邵阳,14:45,株洲西,当天17:04,17:06,福田,20:30
G681/G684,高速动车,太原南,10:40,株洲西,当天18:19,18:21,广州南,20:48
G69,高速动车,北京西,13:07,株洲西,当天19:54,19:56,广州南,22:23
G836/G837,高速动车,广州南,11:30,株洲西,当天13:52,13:54,西安北,20:10
G840/G841,高速动车,广州南,12:30,株洲西,当天14:52,14:54,西安北,21:37
G9627,高速动车,长沙南,18:53,株洲西,当天19:08,19:10,衡阳东,19:45
G9628,高速动车,衡阳东,20:05,株洲西,当天20:39,20:41,长沙南,21:00
G9655,高速动车,长沙南,13:35,株洲西,当天13:50,13:52,郴州西,15:08
G9656,高速动车,郴州西,15:40,株洲西,当天16:55,16:57,长沙南,17:17
G9657,高速动车,长沙南,17:37,株洲西,当天17:52,17:54,郴州西,19:10
G9658,高速动车,郴州西,19:40,株洲西,当天20:55,20:57,长沙南,21:17
G9659,高速动车,长沙南,08:00,株洲西,当天08:15,08:17,郴州西,09:26
G9660,高速动车,郴州西,09:46,株洲西,当天10:54,10:56,长沙南,11:16
G9697,高速动车,长沙南,20:00,株洲西,当天20:15,20:17,广州南,22:56
G9785/G9788,高速动车,邵阳,14:50,株洲西,当天17:04,17:06,广州南,19:40
G9808,高速动车,广州南,14:09,株洲西,当天16:31,16:33,岳阳东,17:39
G9809,高速动车,长沙南,11:13,株洲西,当天11:28,11:36,广州南,14:14
